Entity,Code,Year,electoff_vdem_owid
Argentina,ARG,1789,0.0
Argentina,ARG,1850,0.0
Argentina,ARG,1900,1.0
Argentina,ARG,1950,1.0
Argentina,ARG,2000,1.0
Argentina,ARG,2022,1.0
Australia,AUS,1789,0.0
Australia,AUS,1850,0.0
Australia,AUS,1900,1.0
Australia,AUS,1950,1.0
Australia,AUS,2000,1.0
Australia,AUS,2022,1.0
Botswana,BWA,1900,0.0
Botswana,BWA,1950,0.0
Botswana,BWA,2000,0.895
Botswana,BWA,2022,0.925
China,CHN,1789,0.0
China,CHN,1850,0.0
China,CHN,1900,0.0
China,CHN,1950,0.0
China,CHN,2000,0.0
China,CHN,2022,0.0
