Entity,Code,Year,Deaths - Congenital birth defects - Sex: Both - Age: Under 5 (Rate)
Azerbaijan,AZE,1990,123.97
Azerbaijan,AZE,1995,88.97
Azerbaijan,AZE,2000,90.19
Azerbaijan,AZE,2005,106.36
Azerbaijan,AZE,2010,90.09
Azerbaijan,AZE,2015,72.7
Azerbaijan,AZE,2019,62.34
Democratic Republic of Congo,COD,1990,177.63
Democratic Republic of Congo,COD,1995,158.99
Democratic Republic of Congo,COD,2000,139.77
Democratic Republic of Congo,COD,2005,131.59
Democratic Republic of Congo,COD,2010,113.7
Democratic Republic of Congo,COD,2015,98.28
Democratic Republic of Congo,COD,2019,79.15
Portugal,PRT,1990,70.48
Portugal,PRT,1995,54.43
Portugal,PRT,2000,41.83
Portugal,PRT,2005,25.56
Portugal,PRT,2010,18.11
Portugal,PRT,2015,17.39
Portugal,PRT,2019,14.04
Syria,SYR,1990,193.05
Syria,SYR,1995,139.34
Syria,SYR,2000,94.38
Syria,SYR,2005,64.86
Syria,SYR,2010,73.49
Syria,SYR,2015,83.8
Syria,SYR,2019,69.41
Tajikistan,TJK,1990,62.3
Tajikistan,TJK,1995,60.08
Tajikistan,TJK,2000,75.07
Tajikistan,TJK,2005,102.75
Tajikistan,TJK,2010,132.81
Tajikistan,TJK,2015,175.89
Tajikistan,TJK,2019,151.75
