Entity,Code,Year,Share of annual CO₂ emissions embedded in trade
China,CHN,1990,-6.620475
China,CHN,1995,-10.937634
China,CHN,2000,-10.59614
China,CHN,2005,-19.79482
China,CHN,2010,-14.892497
China,CHN,2015,-10.123141
China,CHN,2021,-8.963682
India,IND,1990,-0.44325286
India,IND,1995,-5.4273224
India,IND,2000,-7.094904
India,IND,2005,-7.5306168
India,IND,2010,-5.9422336
India,IND,2015,-6.2222285
India,IND,2021,-8.469652
Norway,NOR,2005,2.0197952
Norway,NOR,2010,21.41312
Norway,NOR,2015,10.872994
Norway,NOR,2021,8.785873
Sweden,SWE,1990,48.882217
Sweden,SWE,1995,43.549114
Sweden,SWE,2000,56.30428
Sweden,SWE,2005,69.488686
Sweden,SWE,2010,62.168278
Sweden,SWE,2015,64.1408
Sweden,SWE,2021,76.92318
United Kingdom,GBR,1990,11.240403
United Kingdom,GBR,1995,13.807708
United Kingdom,GBR,2000,30.766972
United Kingdom,GBR,2005,31.52446
United Kingdom,GBR,2010,32.209328
United Kingdom,GBR,2015,39.33613
United Kingdom,GBR,2021,47.755886
United States,USA,1990,-1.4240938
United States,USA,1995,-0.97340465
United States,USA,2000,4.05655
United States,USA,2005,9.652039
United States,USA,2010,5.0371966
United States,USA,2015,7.6966467
United States,USA,2021,10.730077
