Entity,Code,Year,"Death rate per 100,000 people - Cause: All Causes - Sex: Both sexes - Age group: ALLAges"
Azerbaijan,AZE,2000,0.7669900000000001
Azerbaijan,AZE,2005,0.77978
Azerbaijan,AZE,2010,0.79023
Azerbaijan,AZE,2015,0.8268099999999999
Azerbaijan,AZE,2019,0.82178
Estonia,EST,2000,1.31542
Estonia,EST,2005,1.27851
Estonia,EST,2010,1.18373
Estonia,EST,2015,1.15845
Estonia,EST,2019,1.14559
Lithuania,LTU,2000,1.10577
Lithuania,LTU,2005,1.30278
Lithuania,LTU,2010,1.3223900000000002
Lithuania,LTU,2015,1.4211600000000002
Lithuania,LTU,2019,1.52156
Malta,MLT,2000,0.8006900000000001
Malta,MLT,2005,0.78766
Malta,MLT,2010,0.7883600000000001
Malta,MLT,2015,0.7881900000000001
Malta,MLT,2019,0.86348
