Entity,Code,Year,Adult modal age at death - Sex: females,Adult modal age at death - Sex: males
Finland,FIN,1970,80.6,73.9
Finland,FIN,1980,83.6,76.1
Finland,FIN,1990,85.0,79.3
Finland,FIN,2000,87.1,81.9
Finland,FIN,2010,89.1,84.3
Finland,FIN,2022,89.8,86.6
France,FRA,1970,83.8,78.1
France,FRA,1980,85.2,79.2
France,FRA,1990,87.5,83.0
France,FRA,2000,89.0,84.5
France,FRA,2010,90.9,86.8
Japan,JPN,1970,81.8,76.5
Japan,JPN,1980,84.8,80.1
Japan,JPN,1990,87.2,82.9
Japan,JPN,2000,90.3,84.7
Japan,JPN,2010,91.9,86.1
United Kingdom,GBR,1970,82.7,74.2
United Kingdom,GBR,1980,83.8,76.7
United Kingdom,GBR,1990,85.2,79.0
United Kingdom,GBR,2000,86.5,81.9
United Kingdom,GBR,2010,88.8,85.8
