Entity,Code,Year,"4.5.1 - Adjusted gender parity index for completion rate, by location, wealth quintile and education level - SE_AGP_CPRA - Lower secondary - All areas - Total (national average) or no breakdown"
Afghanistan,AFG,2000,0.21
Afghanistan,AFG,2005,0.23
Afghanistan,AFG,2010,0.36
Afghanistan,AFG,2015,0.52
Afghanistan,AFG,2020,0.62
Armenia,ARM,2000,1.01
Armenia,ARM,2005,0.92
Armenia,ARM,2010,1.06
Armenia,ARM,2015,1.01
Armenia,ARM,2020,1.01
Bangladesh,BGD,2000,0.88
Bangladesh,BGD,2005,1.07
Bangladesh,BGD,2010,1.09
Bangladesh,BGD,2015,1.13
Bangladesh,BGD,2020,1.2
Lesotho,LSO,2000,1.31
Lesotho,LSO,2005,1.33
Lesotho,LSO,2010,1.37
Lesotho,LSO,2015,1.43
Lesotho,LSO,2020,1.44
Moldova,MDA,2000,1.03
Moldova,MDA,2005,1.05
Moldova,MDA,2010,1.03
Moldova,MDA,2015,1.03
