Entity,Code,Year,"Deaths that are from neonatal preterm birth per 100,000 people, in both sexes aged under 5"
Armenia,ARM,1990,197.08086
Armenia,ARM,1995,164.2378
Armenia,ARM,2000,138.66203
Armenia,ARM,2005,115.975266
Armenia,ARM,2010,76.05105
Armenia,ARM,2015,47.397896
Armenia,ARM,2019,36.829773
India,IND,1990,264.8773
India,IND,1995,244.85072
India,IND,2000,224.91516
India,IND,2005,210.00021
India,IND,2010,198.45326
India,IND,2015,179.73856
India,IND,2019,141.45659
Mali,MLI,1990,416.0336
Mali,MLI,1995,380.86975
Mali,MLI,2000,312.242
Mali,MLI,2005,292.49112
Mali,MLI,2010,286.60043
Mali,MLI,2015,278.12244
Mali,MLI,2019,261.40497
Taiwan,TWN,1990,18.831636
Taiwan,TWN,1995,34.398296
Taiwan,TWN,2000,39.40472
Taiwan,TWN,2005,29.573503
Taiwan,TWN,2010,16.183958
Taiwan,TWN,2015,16.791988
Taiwan,TWN,2019,14.365373
