Entity,Code,Year,catch_mean_region
Atlantic Ocean tunas,,1970,0.7680869679719459
Atlantic Ocean tunas,,1980,0.9940625075884398
Atlantic Ocean tunas,,1990,1.29921040198602
Atlantic Ocean tunas,,2000,1.30186186836705
Atlantic Ocean tunas,,2010,1.00472699953252
Australia,AUS,1970,0.732539582676685
Australia,AUS,1980,0.7313099957036141
Australia,AUS,1990,0.9377965690263308
Australia,AUS,2000,1.0421161519137
Australia,AUS,2010,0.7635010734441501
Indian Ocean tunas,,1970,0.5519404312217701
Indian Ocean tunas,,1980,0.5681983922970749
Indian Ocean tunas,,1990,0.886035330028933
Indian Ocean tunas,,2000,1.85215184405205
Indian Ocean tunas,,2010,1.6307576003023898
Japan,JPN,1970,1.09460935553724
Japan,JPN,1980,1.12374647702694
Japan,JPN,1990,1.06147540983607
Japan,JPN,2000,0.842308517485518
Japan,JPN,2010,0.812519634845558
Japan,JPN,2018,0.5005413918692779
Pacific Ocean tunas,,1970,0.7311247669288969
Pacific Ocean tunas,,1980,0.818077989394046
Pacific Ocean tunas,,1990,0.964518176500604
Pacific Ocean tunas,,2000,1.28366647056291
Pacific Ocean tunas,,2010,1.29367092446222
