Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates,Population - Sex: all - Age: all - Variant: medium,Population by broad age group - Sex: all - Age: 65+ - Variant: estimates,Population by broad age group - Sex: all - Age: 65+ - Variant: medium,Population by broad age group - Sex: all - Age: 25-64 - Variant: estimates,Population by broad age group - Sex: all - Age: 25-64 - Variant: medium,Population - Sex: all - Age: 0-24 - Variant: medium,Population - Sex: all - Age: 0-24 - Variant: estimates,Population - Sex: all - Age: 0-14 - Variant: estimates,Population - Sex: all - Age: 0-14 - Variant: medium,Population by broad age group - Sex: all - Age: 0-4 - Variant: estimates,Population by broad age group - Sex: all - Age: 0-4 - Variant: medium
World,OWID_WRL,1950,2499322000.0,,128207570.0,,1046137300.0,,,1324977300.0,867688260.0,,341876800.0,
World,OWID_WRL,1960,3019233500.0,,151582500.0,,1234179600.0,,,1633471400.0,1128260600.0,,436018270.0,
World,OWID_WRL,1980,4444008000.0,,260358380.0,,1765925900.0,,,2417723400.0,1573398800.0,,548692500.0,
World,OWID_WRL,2000,6148899000.0,,423256640.0,,2777234700.0,,,2948407600.0,1858320100.0,,619565060.0,
World,OWID_WRL,2020,7840953000.0,,739477570.0,,3870200600.0,,,3231274800.0,2013738800.0,,679146200.0,
World,OWID_WRL,2021,7909295000.0,,761272600.0,,3908741600.0,,,3239281000.0,2015023400.0,,671477300.0,
World,OWID_WRL,2040,,9188251000.0,,1329771500.0,,4570306000.0,3288172800.0,,,1984084000.0,,673820160.0
World,OWID_WRL,2060,,10067734000.0,,1882274800.0,,4890989000.0,3294469600.0,,,1965132300.0,,646153200.0
World,OWID_WRL,2080,,10414637000.0,,2269193700.0,,5013907500.0,3131535600.0,,,1862381300.0,,612059000.0
World,OWID_WRL,2100,,10349323000.0,,2486649000.0,,4958263000.0,2904411000.0,,,1705807100.0,,557424400.0
