Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Continent
Albania,ALB,2021,0.9455919,,
Angola,AGO,2021,6.9421334,,
Armenia,ARM,2021,1.0721141,,
Bangladesh,BGD,2021,2.727363,,
Benin,BEN,2021,8.352425,,
Burkina Faso,BFA,2021,8.260758,,
Burundi,BDI,2021,5.260476,,
Cameroon,CMR,2021,6.9788027,,
Ethiopia,ETH,2021,4.6811466,,
Europe,,2021,0.4408454,,
Ghana,GHA,2021,4.3974524,,
Guinea,GIN,2021,9.872694,28.2,
Haiti,HTI,2021,5.8632684,,
India,IND,2021,3.0619214,6.8,
Indonesia,IDN,2021,2.2173412,,
Kenya,KEN,2021,3.7152622,,
Liberia,LBR,2021,7.604017,,
Madagascar,MDG,2021,6.6003,31.1,
Malawi,MWI,2021,4.1899285,,
Mali,MLI,2021,9.706693,,
Mauritania,MRT,2021,4.049846,17.6,
Mozambique,MOZ,2021,6.9558425,,
Myanmar,MMR,2021,4.181237,,
Nepal,NPL,2021,2.716347,,
Nigeria,NGA,2021,11.081927,,
North America,,2021,0.61332315,,
Oceania,,2021,2.0269809,,
Rwanda,RWA,2021,3.9438884,,
Sierra Leone,SLE,2021,10.468697,,
Tajikistan,TJK,2021,3.1419,,
Tanzania,TZA,2021,4.7116404,,
Togo,TGO,2021,6.260445,,
Uganda,UGA,2021,4.212818,,
