Entity,Code,Year,"Death rate per 100,000 people - Cause: Opioid use disorders - Sex: Both sexes - Age group: ALLAges"
Canada,CAN,2000,3.37
Canada,CAN,2005,3.79
Canada,CAN,2010,4.62
Canada,CAN,2015,5.62
Canada,CAN,2019,7.1
Kazakhstan,KAZ,2000,2.57
Kazakhstan,KAZ,2005,3.66
Kazakhstan,KAZ,2010,2.91
Kazakhstan,KAZ,2015,2.77
Kazakhstan,KAZ,2019,2.58
Kyrgyzstan,KGZ,2000,1.55
Kyrgyzstan,KGZ,2005,2.28
Kyrgyzstan,KGZ,2010,2.12
Kyrgyzstan,KGZ,2015,1.62
Kyrgyzstan,KGZ,2019,1.57
Russia,RUS,2000,5.68
Russia,RUS,2005,6.72
Russia,RUS,2010,5.02
Russia,RUS,2015,4.46
Russia,RUS,2019,4.25
Rwanda,RWA,2000,0.42
Rwanda,RWA,2005,0.21
Rwanda,RWA,2010,0.14
Rwanda,RWA,2015,0.14
Rwanda,RWA,2019,0.14
United States,USA,2000,2.92
United States,USA,2005,4.45
United States,USA,2010,6.57
United States,USA,2015,12.48
United States,USA,2019,16.61
