Entity,Code,Year,"Total number of deaths per 100,000 people - Drought (decadal)","Total number of deaths per 100,000 people - Flood (decadal)","Total number of deaths per 100,000 people - Earthquake (decadal)","Total number of deaths per 100,000 people - Extreme weather (decadal)","Total number of deaths per 100,000 people - Extreme temperature (decadal)","Total number of deaths per 100,000 people - Volcanic activity (decadal)","Total number of deaths per 100,000 people - Landslide (decadal)","Total number of deaths per 100,000 people - Wildfire (decadal)","Total number of deaths per 100,000 people - Glacial lake outburst (decadal)","Total number of deaths per 100,000 people - Dry mass movement (decadal)","Total number of deaths per 100,000 people - Fog (decadal)"
World,OWID_WRL,1900,7.7462564,0.0037898018,0.8914592,0.10723291,0.0,0.23860736,0.00030249023,0.0,0.0,0.0007524091,0.0
World,OWID_WRL,1910,0.48081067,0.56998223,0.3832385,0.33353713,0.0,0.034891285,0.00065717363,0.005772699,0.0,0.0,0.0
World,OWID_WRL,1920,23.831656,0.021328807,2.0217695,0.6198664,0.0,0.00072226796,0.002191602,0.0005162921,0.0,0.0,0.0
World,OWID_WRL,1930,0.0,20.666574,0.75984496,0.43231335,0.0077030524,0.015114771,0.004790962,0.00031326062,0.0,0.0001801089,0.0
World,OWID_WRL,1940,14.763012,0.4105963,0.693344,0.54445255,0.0,0.008639733,0.072536595,0.0010443702,0.0,0.0,0.0
World,OWID_WRL,1950,0.0,6.9630117,0.08085946,0.112344295,0.0054272176,0.020027991,0.007947347,3.927165e-05,0.0,1.0924695e-05,0.0154424
World,OWID_WRL,1960,4.5262623,0.09980371,0.16166094,0.41116193,0.0034706262,0.00985892,0.015214107,0.0002856184,0.0,0.0068659163,0.0
World,OWID_WRL,1970,0.30374005,0.1756117,1.0684705,0.9548187,0.0038392644,0.001227771,0.018972667,1.177851e-05,0.0,0.0,0.0
World,OWID_WRL,1980,1.1954567,0.10634015,0.11926231,0.095135294,0.011144077,0.04936732,0.01297538,0.0008096522,0.0,0.0024744896,0.0
World,OWID_WRL,1990,0.0056017023,0.16338742,0.18442959,0.3812157,0.016165292,0.0017797708,0.015040492,0.0014863493,0.0,0.0010744983,0.0
World,OWID_WRL,2000,0.0017648471,0.08277457,0.69382316,0.25441688,0.14284334,0.00037187166,0.011907161,0.00094395067,0.0,0.00042580566,0.0
World,OWID_WRL,2010,0.028786907,0.06929207,0.38063583,0.03767682,0.10500865,0.001822166,0.013827466,0.0011806547,0.0,0.00013593987,0.0
World,OWID_WRL,2020,0.008296975,0.07410715,0.18421467,0.02097588,0.21856229,0.00035072406,0.004890414,0.0018452517,0.0008246918,0.0,0.0
