Entity,Code,Year,Deaths - Self-harm - Sex: Both - Age: 15-49 years (Rate)
Angola,AGO,1990,11.12
Angola,AGO,1995,11.04
Angola,AGO,2000,10.07
Angola,AGO,2005,9.01
Angola,AGO,2010,8.69
Angola,AGO,2015,8.04
Angola,AGO,2019,7.81
Czechia,CZE,1990,22.55
Czechia,CZE,1995,20.06
Czechia,CZE,2000,18.38
Czechia,CZE,2005,17.19
Czechia,CZE,2010,16.16
Czechia,CZE,2015,14.5
Czechia,CZE,2019,13.67
Democratic Republic of Congo,COD,1990,8.38
Democratic Republic of Congo,COD,1995,8.34
Democratic Republic of Congo,COD,2000,8.45
Democratic Republic of Congo,COD,2005,8.02
Democratic Republic of Congo,COD,2010,7.87
Democratic Republic of Congo,COD,2015,7.81
Democratic Republic of Congo,COD,2019,7.69
East Asia & Pacific (WB),,1990,16.71
East Asia & Pacific (WB),,1995,16.42
East Asia & Pacific (WB),,2000,13.53
East Asia & Pacific (WB),,2005,10.27
East Asia & Pacific (WB),,2010,8.57
East Asia & Pacific (WB),,2015,7.21
East Asia & Pacific (WB),,2019,7.08
East Timor,TLS,1990,11.21
East Timor,TLS,1995,9.94
East Timor,TLS,2000,8.37
East Timor,TLS,2005,5.87
East Timor,TLS,2010,5.13
East Timor,TLS,2015,6.83
East Timor,TLS,2019,6.81
Iceland,ISL,1990,16.69
Iceland,ISL,1995,14.94
Iceland,ISL,2000,14.72
Iceland,ISL,2005,12.04
Iceland,ISL,2010,11.28
Iceland,ISL,2015,10.76
Iceland,ISL,2019,10.38
South Sudan,SSD,1990,5.35
South Sudan,SSD,1995,5.84
South Sudan,SSD,2000,5.05
South Sudan,SSD,2005,4.78
South Sudan,SSD,2010,4.73
South Sudan,SSD,2015,4.69
South Sudan,SSD,2019,4.7
