Entity,Code,Year,Harmonized Test Scores,"Government expenditure on education, PPP$ (millions)",Continent
Afghanistan,AFG,2020,354.7588,,
Albania,ALB,2020,434.1276,,
Argentina,ARG,2020,408.17264,,
Armenia,ARM,2020,442.96945,,
Australia,AUS,2020,515.68536,,
Austria,AUT,2020,507.63937,,
Azerbaijan,AZE,2020,415.9462,,
Bahrain,BHR,2020,451.706,,
Bangladesh,BGD,2020,368.31528,,
Belarus,BLR,2020,488.1431,,
Benin,BEN,2020,383.92285,,
Bhutan,BTN,2020,386.7394,,
Brazil,BRA,2020,413.24475,,
Burkina Faso,BFA,2020,403.65433,,
Burundi,BDI,2020,422.7478,,
Cameroon,CMR,2020,378.86884,,
Chad,TCD,2020,333.11133,,
Chile,CHL,2020,452.21823,,
Comoros,COM,2020,392.22552,,
Congo,COG,2020,370.61407,,
Costa Rica,CRI,2020,428.5557,,
Croatia,HRV,2020,487.58124,,
Cyprus,CYP,2020,502.16217,,
Czechia,CZE,2020,512.2216,,
Democratic Republic of Congo,COD,2020,310.19714,,
Dominica,DMA,2020,403.78323,,
East Timor,TLS,2020,371.44125,,
Estonia,EST,2020,543.20605,,
Finland,FIN,2020,533.70764,,
France,FRA,2020,510.2606,,
Gambia,GMB,2020,352.89963,,
Germany,DEU,2020,517.28143,,
Guinea,GIN,2020,408.24908,,
Hong Kong,HKG,2020,548.6314,,
Israel,ISR,2020,480.7522,,
Japan,JPN,2020,537.72345,,
Kenya,KEN,2020,454.9584,,
Liberia,LBR,2020,331.74594,,
Madagascar,MDG,2020,350.77332,,
Malaysia,MYS,2020,445.67532,,
Malta,MLT,2020,474.435,,
Mexico,MEX,2020,430.06512,,
Micronesia (country),FSM,2020,379.9026,,
Pakistan,PAK,2020,338.65656,,
Palestine,PSE,2020,412.31775,,
Peru,PER,2020,415.02542,,
Romania,ROU,2020,442.16174,,
Serbia,SRB,2020,457.4535,,
Seychelles,SYC,2020,463.37933,,
South Africa,ZAF,2020,342.76398,,
Sri Lanka,LKA,2020,400.0,,
Tunisia,TUN,2020,384.07874,,
Uruguay,URY,2020,437.69662,,
Uzbekistan,UZB,2020,474.07513,,
Vanuatu,VUT,2020,347.68582,,
