Entity,Code,Year,Sovereign state
Brunei,BRN,1816,0
Brunei,BRN,1850,0
Brunei,BRN,1900,0
Brunei,BRN,1950,0
Brunei,BRN,2000,1
Brunei,BRN,2017,1
Brunei,BRN,2022,1
Kyrgyzstan,KGZ,1816,0
Kyrgyzstan,KGZ,1850,0
Kyrgyzstan,KGZ,1900,0
Kyrgyzstan,KGZ,1950,0
Kyrgyzstan,KGZ,2000,1
Kyrgyzstan,KGZ,2017,1
Kyrgyzstan,KGZ,2022,1
Turkmenistan,TKM,1816,0
Turkmenistan,TKM,1850,0
Turkmenistan,TKM,1900,0
Turkmenistan,TKM,1950,0
Turkmenistan,TKM,2000,1
Turkmenistan,TKM,2017,1
Turkmenistan,TKM,2022,1
Tuscany,OWID_TUS,1816,1
Tuscany,OWID_TUS,1850,1
Tuscany,OWID_TUS,1900,0
Tuscany,OWID_TUS,1950,0
Tuscany,OWID_TUS,2000,0
Tuscany,OWID_TUS,2017,0
Tuscany,OWID_TUS,2022,0
