Entity,Code,Year,Share of government consumption in GDP,"GDP per capita (output, multiple price benchmarks)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,27.900051,11787.492,42705372.0,
Asia,,2019,,,4627738749.0,
Azerbaijan,AZE,2019,21.596153,15858.924,10232761.0,
Belarus,BLR,2019,26.90266,21665.938,9673971.0,
British Virgin Islands,VGB,2019,6.5017896,37368.71,30631.0,
Brunei,BRN,2019,29.041708,73249.19,438058.0,
Burkina Faso,BFA,2019,17.571268,2120.1392,20951638.0,
Burundi,BDI,2019,20.8841,790.046,11874838.0,
Cambodia,KHM,2019,5.322095,4500.0527,16207746.0,
Cape Verde,CPV,2019,22.275656,7271.0767,577037.0,
China,CHN,2019,13.7686205,14128.812,1421864064.0,
Democratic Republic of Congo,COD,2019,6.89626,1021.6937,89906896.0,
Equatorial Guinea,GNQ,2019,47.313656,24712.76,1553037.0,
Eswatini,SWZ,2019,25.422272,7827.8228,1169620.0,
Ethiopia,ETH,2019,11.189403,2720.7412,114120592.0,
Europe,,2019,,,747418251.0,
Germany,DEU,2019,18.342451,51190.89,83148144.0,
Guatemala,GTM,2019,15.278716,7769.828,17106338.0,
Haiti,HTI,2019,2.2708302,1554.0212,11160441.0,
India,IND,2019,7.345405,6711.385,1383112064.0,
Indonesia,IDN,2019,10.638674,11595.102,269582880.0,
Iran,IRN,2019,20.078737,13240.924,86564208.0,
Iraq,IRQ,2019,15.720487,11920.252,41563524.0,
Italy,ITA,2019,15.702385,40732.03,59727936.0,
Japan,JPN,2019,21.661978,39704.234,125791680.0,
Kenya,KEN,2019,14.766892,4236.668,50951452.0,
Kyrgyzstan,KGZ,2019,30.808428,6135.855,6323643.0,
Lesotho,LSO,2019,32.862602,2694.87,2225710.0,
Madagascar,MDG,2019,11.472014,1539.063,27533134.0,
Malaysia,MYS,2019,12.543601,25735.309,32804024.0,
Malta,MLT,2019,25.938044,38910.08,503646.0,
Mexico,MEX,2019,17.071966,18736.527,125085312.0,
Montserrat,MSR,2019,85.09439,15573.098,4528.0,
Morocco,MAR,2019,18.083296,7923.9307,36304408.0,
Mozambique,MOZ,2019,21.079208,1228.8705,30285602.0,
Myanmar,MMR,2019,22.197441,5153.375,53040212.0,
Nepal,NPL,2019,9.540116,3631.0178,28832500.0,
Niger,NER,2019,12.325295,1210.8782,23443400.0,
Nigeria,NGA,2019,9.736112,4983.6753,203304496.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,18.361843,73668.79,5348285.0,
Oceania,,2019,,,43278474.0,
Russia,RUS,2019,25.969213,28526.293,145742288.0,
Saudi Arabia,SAU,2019,22.526438,51824.88,35827364.0,
Serbia,SRB,2019,28.06743,17220.316,7401056.0,
Seychelles,SYC,2019,34.187046,27783.162,104386.0,
South America,,2019,,,428318218.0,
Sweden,SWE,2019,26.347872,52433.336,10267922.0,
Switzerland,CHE,2019,7.85819,75298.82,8575593.0,
Syria,SYR,2019,38.002117,7210.547,20098252.0,
Tajikistan,TJK,2019,34.551777,3893.754,9337008.0,
Turkey,TUR,2019,20.318344,26947.576,83481688.0,
Turkmenistan,TKM,2019,38.436718,26026.03,6158424.0,
Ukraine,UKR,2019,30.821991,13144.867,44211100.0,
United States,USA,2019,11.495534,62589.0,334319680.0,
Yemen,YEM,2019,30.02338,1777.2511,31546694.0,
Zimbabwe,ZWE,2019,22.710901,2787.659,15354606.0,
