Entity,Code,Year,8.8.2 - Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation - SL_LBR_NTLCPL
Cote d'Ivoire,CIV,2015,0.77
Cote d'Ivoire,CIV,2016,0.72
Cote d'Ivoire,CIV,2017,0.72
Cote d'Ivoire,CIV,2018,0.72
Cote d'Ivoire,CIV,2019,0.72
Cote d'Ivoire,CIV,2020,0.72
Cote d'Ivoire,CIV,2021,0.72
Democratic Republic of Congo,COD,2015,2.93
Democratic Republic of Congo,COD,2016,3.34
Democratic Republic of Congo,COD,2017,3.16
Democratic Republic of Congo,COD,2018,3.16
Democratic Republic of Congo,COD,2019,3.16
Democratic Republic of Congo,COD,2020,3.16
Democratic Republic of Congo,COD,2021,3.16
Lithuania,LTU,2015,0.18
Lithuania,LTU,2016,0.18
Lithuania,LTU,2017,0.18
Lithuania,LTU,2018,0.18
Lithuania,LTU,2019,0.18
Lithuania,LTU,2020,0.18
Lithuania,LTU,2021,0.0
Morocco,MAR,2015,4.1
Morocco,MAR,2016,2.44
Morocco,MAR,2017,2.44
Morocco,MAR,2018,2.44
Morocco,MAR,2019,2.44
Morocco,MAR,2020,2.44
Morocco,MAR,2021,2.44
Niger,NER,2015,0.55
Niger,NER,2016,1.3
Niger,NER,2017,1.3
Niger,NER,2018,1.3
Niger,NER,2019,1.3
Niger,NER,2020,1.3
Niger,NER,2021,1.3
