Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles
Bangladesh,BGD,1950,34.527794
Bangladesh,BGD,1960,26.203705
Bangladesh,BGD,1970,27.309042
Bangladesh,BGD,1980,20.525251
Bangladesh,BGD,1990,14.596598
Bangladesh,BGD,2000,8.606645
Bangladesh,BGD,2010,4.915377
Bangladesh,BGD,2021,2.727363
Bolivia,BOL,1960,29.068354
Bolivia,BOL,1970,22.90596
Bolivia,BOL,1980,16.865168
Bolivia,BOL,1990,12.148481
Bolivia,BOL,2000,7.563072
Bolivia,BOL,2010,4.188802
Bolivia,BOL,2021,2.469194
Cyprus,CYP,1980,1.878639
Cyprus,CYP,1990,1.1257044
Cyprus,CYP,2000,0.65219855
Cyprus,CYP,2010,0.3456638
Cyprus,CYP,2021,0.2785531
Dominican Republic,DOM,1950,14.474894
Dominican Republic,DOM,1960,14.72298
Dominican Republic,DOM,1970,12.347478
Dominican Republic,DOM,1980,8.688076
Dominican Republic,DOM,1990,5.9577174
Dominican Republic,DOM,2000,4.0045233
Dominican Republic,DOM,2010,3.5235286
Dominican Republic,DOM,2021,3.3002884
