Entity,Code,Year,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number)
East Asia & Pacific (WB),,1990,5518
East Asia & Pacific (WB),,1995,32261
East Asia & Pacific (WB),,2000,70126
East Asia & Pacific (WB),,2005,87679
East Asia & Pacific (WB),,2010,75412
East Asia & Pacific (WB),,2015,85514
East Asia & Pacific (WB),,2019,79849
Ghana,GHA,1990,2727
Ghana,GHA,1995,10015
Ghana,GHA,2000,19400
Ghana,GHA,2005,24051
Ghana,GHA,2010,20587
Ghana,GHA,2015,17114
Ghana,GHA,2019,14621
Jamaica,JAM,1990,182
Jamaica,JAM,1995,331
Jamaica,JAM,2000,700
Jamaica,JAM,2005,362
Jamaica,JAM,2010,618
Jamaica,JAM,2015,454
Jamaica,JAM,2019,418
Monaco,MCO,1990,0
Monaco,MCO,1995,1
Monaco,MCO,2000,1
Monaco,MCO,2005,1
Monaco,MCO,2010,1
Monaco,MCO,2015,1
Monaco,MCO,2019,1
Niue,NIU,1990,0
Niue,NIU,1995,0
Niue,NIU,2000,0
Niue,NIU,2005,0
Niue,NIU,2010,0
Niue,NIU,2015,0
Niue,NIU,2019,0
Taiwan,TWN,1990,8
Taiwan,TWN,1995,63
Taiwan,TWN,2000,73
Taiwan,TWN,2005,118
Taiwan,TWN,2010,156
Taiwan,TWN,2015,167
Taiwan,TWN,2019,171
