Entity,Code,Year,Coal consumption - TWh
Germany,DEU,1965,1869.4764
Germany,DEU,1970,1733.998
Germany,DEU,1980,1643.761
Germany,DEU,1990,1529.6908
Germany,DEU,2000,992.09576
Germany,DEU,2010,896.1722
Germany,DEU,2022,647.22217
India,IND,1965,413.40735
India,IND,1970,436.80887
India,IND,1980,659.565
India,IND,1990,1276.025
India,IND,2000,1911.1661
India,IND,2010,3348.546
India,IND,2022,5581.4287
Japan,JPN,1965,566.5229
Japan,JPN,1970,702.30524
Japan,JPN,1980,677.0605
Japan,JPN,1990,907.6897
Japan,JPN,2000,1110.6033
Japan,JPN,2010,1352.7345
Japan,JPN,2022,1365.5248
United Kingdom,GBR,1965,1365.3271
United Kingdom,GBR,1970,1116.759
United Kingdom,GBR,1980,826.48596
United Kingdom,GBR,1990,755.3103
United Kingdom,GBR,2000,427.1478
United Kingdom,GBR,2010,354.80872
United Kingdom,GBR,2022,58.722347
United States,USA,1965,3224.2441
United States,USA,1970,3414.6594
United States,USA,1980,4293.98
United States,USA,1990,5337.9976
United States,USA,2000,6286.536
United States,USA,2010,5800.5415
United States,USA,2022,2741.2214
