Entity,Code,Year,Bananas | 00000486 || Production | 005510 || tonnes
Africa,,1961,3139079.0
Africa,,1970,4076156.0
Africa,,1980,5024557.0
Africa,,1990,9288151.0
Africa,,2000,9897445.0
Africa,,2010,16850530.0
Africa,,2021,22941956.0
Asia,,1961,6378404.0
Asia,,1970,9628950.0
Asia,,1980,14645031.0
Asia,,1990,19372810.0
Asia,,2000,33015560.0
Asia,,2010,60166676.0
Asia,,2021,68035544.0
Europe,,1961,350913.0
Europe,,1970,459312.0
Europe,,1980,514836.0
Europe,,1990,477821.0
Europe,,2000,440149.47
Europe,,2010,428069.34
Europe,,2021,673800.0
North America,,1961,3999115.0
North America,,1970,6180845.0
North America,,1980,6796351.0
North America,,1990,8245145.0
North America,,2000,8028061.0
North America,,2010,9625534.0
North America,,2021,12209286.0
Oceania,,1961,490123.0
Oceania,,1970,568421.0
Oceania,,1980,627780.0
Oceania,,1990,819434.0
Oceania,,2000,1112484.1
Oceania,,2010,1409127.5
Oceania,,2021,1696171.4
South America,,1961,7014926.0
South America,,1970,10510029.0
South America,,1980,9377265.0
South America,,1990,11672154.0
South America,,2000,13939570.0
South America,,2010,19813036.0
South America,,2021,19421824.0
