Entity,Code,Year,Estimated number of new cases of all forms of tuberculosis
Comoros,COM,2000,210
Comoros,COM,2005,220
Comoros,COM,2010,220
Comoros,COM,2015,250
Comoros,COM,2020,280
Comoros,COM,2022,290
India,IND,2000,3410000
India,IND,2005,3590000
India,IND,2010,3420000
India,IND,2015,3130000
India,IND,2020,2750000
India,IND,2022,2820000
Netherlands,NLD,2000,1400
Netherlands,NLD,2005,1300
Netherlands,NLD,2010,1200
Netherlands,NLD,2015,980
Netherlands,NLD,2020,710
Netherlands,NLD,2022,720
Paraguay,PRY,2000,2200
Paraguay,PRY,2005,2300
Paraguay,PRY,2010,2400
Paraguay,PRY,2015,2500
Paraguay,PRY,2020,3000
Paraguay,PRY,2022,3100
Poland,POL,2000,13000
Poland,POL,2005,9400
Poland,POL,2010,8100
Poland,POL,2015,7200
Poland,POL,2020,3600
Poland,POL,2022,4600
Zambia,ZMB,2000,75000
Zambia,ZMB,2005,70000
Zambia,ZMB,2010,68000
Zambia,ZMB,2015,64000
Zambia,ZMB,2020,60000
Zambia,ZMB,2022,59000
