Entity,Code,Year,"Deaths that are from all causes attributed to household air pollution from solid fuels per 100,000 people, in both sexes aged all ages"
Central African Republic,CAF,1990,213.11995
Central African Republic,CAF,1995,197.54333
Central African Republic,CAF,2000,185.14389
Central African Republic,CAF,2005,170.5833
Central African Republic,CAF,2010,159.9593
Central African Republic,CAF,2015,145.50124
Central African Republic,CAF,2019,131.33385
Niger,NER,1990,284.012
Niger,NER,1995,262.1821
Niger,NER,2000,223.66978
Niger,NER,2005,179.56432
Niger,NER,2010,134.13327
Niger,NER,2015,127.176865
Niger,NER,2019,113.784836
