Entity,Code,Year,Yearly burned area across other land categories,Yearly burned area across croplands,Yearly burned area across forests,Yearly burned area across savannas,Yearly burned area across shrublands and grasslands
Africa,,2002,329887.5,19330936.0,15426424.0,122362360.0,123521410.0
Africa,,2005,840088.25,19829954.0,22737892.0,149149920.0,135480020.0
Africa,,2010,497707.66,12784813.0,23310022.0,124798280.0,125271280.0
Africa,,2015,507109.72,11043180.0,22093830.0,120888140.0,101979440.0
Africa,,2020,1333674.4,11181206.0,19152212.0,116326970.0,96878640.0
Africa,,2022,1071683.5,10691333.0,20740106.0,111527720.0,96707250.0
Europe,,2002,52870.45,7382198.0,850434.75,4832782.5,5672699.0
Europe,,2005,102842.984,8239308.0,721124.4,3003611.5,4775232.5
Europe,,2010,94664.49,4227509.5,1108347.1,2346670.0,5224019.5
Europe,,2015,79037.33,4470052.5,635711.7,2404349.0,5126993.5
Europe,,2020,174581.9,2507127.5,687916.7,3984344.0,4901001.0
Europe,,2022,114434.555,2398252.8,703865.75,2641117.2,3531951.0
North America,,2002,67660.44,949821.75,617937.94,1992697.9,3633677.8
North America,,2005,87451.96,1415759.9,963967.75,2782556.0,5162562.5
North America,,2010,61349.473,1571602.0,457931.38,1586134.4,3263885.2
North America,,2015,66952.055,1493165.8,1015507.25,1536677.1,4794122.5
North America,,2020,44455.83,1396075.6,1610541.1,1216170.2,4156951.2
North America,,2022,58387.176,1160337.4,865525.25,1207948.8,3206163.5
Oceania,,2002,51432.22,122355.445,768563.94,6341296.5,69431544.0
Oceania,,2005,59481.918,541068.7,128451.76,5602570.0,21157876.0
Oceania,,2010,54437.445,365671.06,100288.54,2238160.0,15639645.0
Oceania,,2015,98313.68,413260.88,435778.6,4718605.5,36267420.0
Oceania,,2020,44885.125,128172.7,1835696.5,3535729.0,11018129.0
Oceania,,2022,40269.97,501142.16,88374.984,2897248.0,24140492.0
South America,,2002,206308.48,2167451.5,3574904.0,20334122.0,13918490.0
South America,,2005,174689.25,2171015.0,4260309.0,20846878.0,13045516.0
South America,,2010,189500.7,2571589.5,7297815.0,27103062.0,17645802.0
South America,,2015,143606.69,1638704.4,2652387.0,14276863.0,11685546.0
South America,,2020,855951.5,2224851.2,5121627.0,20418612.0,14777146.0
South America,,2022,413432.62,1289583.4,4081047.8,13988919.0,10236536.0
World,OWID_WRL,2002,920907.3,35789416.0,24417036.0,158605730.0,242925870.0
World,OWID_WRL,2005,1557241.5,41020372.0,33586056.0,183639900.0,196693950.0
World,OWID_WRL,2010,1090595.0,31065146.0,38961384.0,160999600.0,183886160.0
World,OWID_WRL,2015,1234738.4,29904144.0,32527208.0,147074670.0,173074720.0
World,OWID_WRL,2020,2831906.2,27007452.0,33229506.0,147312200.0,139635540.0
World,OWID_WRL,2022,1929760.1,24071072.0,29307928.0,133850696.0,141455680.0
