Entity,Code,Year,Male-to-female height ratio
Burundi,BDI,1896,1.069167415
Burundi,BDI,1920,1.067497584
Burundi,BDI,1940,1.069431672
Burundi,BDI,1960,1.072540452
Burundi,BDI,1980,1.082407673
Burundi,BDI,1996,1.081883146
Comoros,COM,1896,1.061030781
Comoros,COM,1920,1.058169366
Comoros,COM,1940,1.058878685
Comoros,COM,1960,1.061136294
Comoros,COM,1980,1.070965457
Comoros,COM,1996,1.068209927
Guinea,GIN,1896,1.06335079
Guinea,GIN,1920,1.062946916
Guinea,GIN,1940,1.064191152
Guinea,GIN,1960,1.065363602
Guinea,GIN,1980,1.06934733
Guinea,GIN,1996,1.061742093
Nauru,NRU,1896,1.085771569
Nauru,NRU,1920,1.071681017
Nauru,NRU,1940,1.066550723
Nauru,NRU,1960,1.069674101
Nauru,NRU,1980,1.07928318
Nauru,NRU,1996,1.089946052
Slovakia,SVK,1896,1.082011864
Slovakia,SVK,1920,1.072423493
Slovakia,SVK,1940,1.070004217
Slovakia,SVK,1960,1.0767644
Slovakia,SVK,1980,1.076237748
Slovakia,SVK,1996,1.071866001
Taiwan,TWN,1896,1.079884912
Taiwan,TWN,1920,1.080907359
Taiwan,TWN,1940,1.072365567
Taiwan,TWN,1960,1.072854958
Taiwan,TWN,1980,1.077589055
Taiwan,TWN,1996,1.080939348
