Entity,Code,Year,"16.4.2 - Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments - VC_ARM_SZTRACE"
Argentina,ARG,2017,18.31
Australia,AUS,2017,0.96
Azerbaijan,AZE,2017,100.0
Azerbaijan,AZE,2019,12.06
Bulgaria,BGR,2020,67.19
Colombia,COL,2020,10.25
El Salvador,SLV,2019,30.93
El Salvador,SLV,2021,51.72
France,FRA,2019,0.99
Greece,GRC,2017,18.2
Greece,GRC,2021,14.69
Grenada,GRD,2017,64.71
Guyana,GUY,2021,4.49
Kenya,KEN,2017,0.65
Latvia,LVA,2021,100.0
Lithuania,LTU,2016,1.68
Moldova,MDA,2017,9.43
Moldova,MDA,2019,39.13
Morocco,MAR,2020,4.44
Peru,PER,2017,78.49
Peru,PER,2020,70.15
Romania,ROU,2019,27.4
Spain,ESP,2017,55.22
Spain,ESP,2019,53.35
Spain,ESP,2020,48.44
Spain,ESP,2021,44.54
United Kingdom,GBR,2017,14.76
United Kingdom,GBR,2019,23.84
United Kingdom,GBR,2020,20.04
United Kingdom,GBR,2021,19.12
