Entity,Code,Year,Fixed telephone subscriptions
China,CHN,1980,2140700.0
China,CHN,1990,6850300.0
China,CHN,2000,144829000.0
China,CHN,2010,294383000.0
China,CHN,2021,180700500.0
India,IND,1960,332399.0
India,IND,1970,981356.0
India,IND,1980,2149470.0
India,IND,1990,5074734.0
India,IND,2000,32436134.0
India,IND,2010,35090000.0
India,IND,2021,23773752.0
Japan,JPN,1960,3632938.0
Japan,JPN,1970,16403000.0
Japan,JPN,1980,39934000.0
Japan,JPN,1990,54527950.0
Japan,JPN,2000,61957096.0
Japan,JPN,2010,65618748.0
Japan,JPN,2021,61583600.0
United Kingdom,GBR,1960,5037000.0
United Kingdom,GBR,1970,9213000.0
United Kingdom,GBR,1980,18161000.0
United Kingdom,GBR,1990,25368000.0
United Kingdom,GBR,2000,35228000.0
United Kingdom,GBR,2010,33409000.0
United Kingdom,GBR,2021,32192000.0
United States,USA,1960,49269000.0
United States,USA,1970,69039000.0
United States,USA,1980,94282000.0
United States,USA,1990,136114200.0
United States,USA,2000,192513000.0
United States,USA,2010,149652000.0
United States,USA,2021,97113000.0
