Entity,Code,Year,Injured
All disasters,,1900,0
All disasters,,1905,2018
All disasters,,1910,0
All disasters,,1915,22
All disasters,,1920,167
All disasters,,1925,0
All disasters,,1930,8141
All disasters,,1935,43557
All disasters,,1940,3975
All disasters,,1945,926
All disasters,,1950,250
All disasters,,1955,2296
All disasters,,1960,28577
All disasters,,1965,620282
All disasters,,1970,153620
All disasters,,1975,4320
All disasters,,1980,51336
All disasters,,1985,44948
All disasters,,1990,123831
All disasters,,1995,118235
All disasters,,2000,14744
All disasters,,2005,168693
All disasters,,2010,339366
All disasters,,2015,128574
All disasters,,2023,129329
