Entity,Code,Year,Municipal water withdrawal
Central African Republic,CAF,1985,15000000.0
Central African Republic,CAF,2000,54800000.0
Central African Republic,CAF,2005,60100000.0
Costa Rica,CRI,1995,757000000.0
Costa Rica,CRI,2015,760000000.0
Georgia,GEO,2000,336000000.0
Georgia,GEO,2005,358000000.0
Grenada,GRD,2015,12000000.0
Guinea,GIN,1985,74000000.0
Guinea,GIN,2000,208300000.0
Guinea,GIN,2005,224800000.0
New Zealand,NZL,1985,874000000.0
New Zealand,NZL,2000,620000000.0
New Zealand,NZL,2005,1149000000.0
New Zealand,NZL,2010,810000000.0
Puerto Rico,PRI,1990,568900000.0
Puerto Rico,PRI,2000,709900000.0
Puerto Rico,PRI,2005,903700000.0
Puerto Rico,PRI,2010,938600000.0
