Entity,Code,Year,WEO Index overall score (Economist Intelligence Unit (2012))
Algeria,DZA,2012,39.656799
Americas,,2012,58.200001
Armenia,ARM,2012,53.3241
Australia,AUS,2012,87.132698
Belgium,BEL,2012,87.738998
Chad,TCD,2012,23.2939
Finland,FIN,2012,88.150101
Iceland,ISL,2012,83.024597
India,IND,2012,41.9464
Indonesia,IDN,2012,47.502701
Iran,IRN,2012,35.3974
Israel,ISR,2012,71.512199
Italy,ITA,2012,70.896896
Japan,JPN,2012,73.887299
Jordan,JOR,2012,45.877102
Kazakhstan,KAZ,2012,54.460999
Kenya,KEN,2012,47.488998
Laos,LAO,2012,38.6063
Latvia,LVA,2012,72.114799
Luxembourg,LUX,2012,75.371101
Malaysia,MYS,2012,57.733799
New Zealand,NZL,2012,83.722702
Norway,NOR,2012,88.308098
Sudan,SDN,2012,19.230801
Sweden,SWE,2012,90.399902
Yemen,YEM,2012,24.6448
