Entity,Code,Year,"Prevalence of overweight among adults, BMI >= 25 (age-standardized estimate) (%) - Sex: female - Age group: 18+  years"
Brazil,BRA,1975,30.2
Brazil,BRA,1980,33.8
Brazil,BRA,1985,37.3
Brazil,BRA,1990,40.6
Brazil,BRA,1995,43.8
Brazil,BRA,2000,47.0
Brazil,BRA,2005,49.8
Brazil,BRA,2010,52.4
Brazil,BRA,2016,55.4
Chad,TCD,1975,9.9
Chad,TCD,1980,11.8
Chad,TCD,1985,13.8
Chad,TCD,1990,15.9
Chad,TCD,1995,18.1
Chad,TCD,2000,20.5
Chad,TCD,2005,23.1
Chad,TCD,2010,26.0
Chad,TCD,2016,29.8
China,CHN,1975,10.8
China,CHN,1980,12.3
China,CHN,1985,14.3
China,CHN,1990,16.5
China,CHN,1995,18.7
China,CHN,2000,21.1
China,CHN,2005,23.8
China,CHN,2010,26.7
China,CHN,2016,30.1
India,IND,1975,6.3
India,IND,1980,7.5
India,IND,1985,8.8
India,IND,1990,10.3
India,IND,1995,12.0
India,IND,2000,13.8
India,IND,2005,16.0
India,IND,2010,18.4
India,IND,2016,21.6
Japan,JPN,1975,15.2
Japan,JPN,1980,16.1
Japan,JPN,1985,16.6
Japan,JPN,1990,17.2
Japan,JPN,1995,17.7
Japan,JPN,2000,18.3
Japan,JPN,2005,19.4
Japan,JPN,2010,20.7
Japan,JPN,2016,21.8
Nauru,NRU,1975,82.1
Nauru,NRU,1980,83.1
Nauru,NRU,1985,84.0
Nauru,NRU,1990,84.9
Nauru,NRU,1995,85.7
Nauru,NRU,2000,86.5
Nauru,NRU,2005,87.2
Nauru,NRU,2010,87.9
Nauru,NRU,2016,88.7
United Kingdom,GBR,1975,36.5
United Kingdom,GBR,1980,39.0
United Kingdom,GBR,1985,41.6
United Kingdom,GBR,1990,44.3
United Kingdom,GBR,1995,47.2
United Kingdom,GBR,2000,50.2
United Kingdom,GBR,2005,53.1
United Kingdom,GBR,2010,55.8
United Kingdom,GBR,2016,58.9
United States,USA,1975,36.6
United States,USA,1980,39.5
United States,USA,1985,42.6
United States,USA,1990,46.1
United States,USA,1995,49.9
United States,USA,2000,53.7
United States,USA,2005,57.0
United States,USA,2010,59.9
United States,USA,2016,63.2
