Entity,Code,Year,Annual PM2.5 emissions from wildfires
Brazil,BRA,2003,4677470.0
Brazil,BRA,2005,5353220.0
Brazil,BRA,2007,5416501.5
Brazil,BRA,2009,1655382.8
Brazil,BRA,2011,1689726.5
Brazil,BRA,2013,1358483.5
Brazil,BRA,2015,2800622.8
Brazil,BRA,2017,2741816.5
Brazil,BRA,2019,2544339.2
Brazil,BRA,2021,2471570.2
Brazil,BRA,2024,43775.58
Canada,CAN,2003,1564990.4
Canada,CAN,2005,1054848.8
Canada,CAN,2007,1390215.6
Canada,CAN,2009,659189.9
Canada,CAN,2011,1385045.5
Canada,CAN,2013,2853142.2
Canada,CAN,2015,2621041.2
Canada,CAN,2017,2444020.8
Canada,CAN,2019,1155101.2
Canada,CAN,2021,2194094.5
Canada,CAN,2024,7472.0
Greece,GRC,2003,2793.8
Greece,GRC,2005,4814.35
Greece,GRC,2007,59340.73
Greece,GRC,2009,10392.24
Greece,GRC,2011,5307.12
Greece,GRC,2013,4624.33
Greece,GRC,2015,4243.51
Greece,GRC,2017,11244.0
Greece,GRC,2019,10576.601
Greece,GRC,2021,39651.18
Greece,GRC,2024,128.61
Indonesia,IDN,2003,1206610.9
Indonesia,IDN,2005,1363314.9
Indonesia,IDN,2007,623150.1
Indonesia,IDN,2009,1871926.0
Indonesia,IDN,2011,1213536.2
Indonesia,IDN,2013,817041.0
Indonesia,IDN,2015,5092374.5
Indonesia,IDN,2017,321561.47
Indonesia,IDN,2019,2843177.5
Indonesia,IDN,2021,247143.58
Indonesia,IDN,2024,10553.27
United States,USA,2003,772809.56
United States,USA,2005,1412354.8
United States,USA,2007,1106452.8
United States,USA,2009,1166817.4
United States,USA,2011,893009.9
United States,USA,2013,849137.9
United States,USA,2015,1352578.5
United States,USA,2017,984810.5
United States,USA,2019,891079.5
United States,USA,2021,1291817.6
United States,USA,2024,13161.43
World,OWID_WRL,2003,36573976.0
World,OWID_WRL,2005,30569386.0
World,OWID_WRL,2007,30385412.0
World,OWID_WRL,2009,25458000.0
World,OWID_WRL,2011,27413200.0
World,OWID_WRL,2013,24859944.0
World,OWID_WRL,2015,32485882.0
World,OWID_WRL,2017,24116622.0
World,OWID_WRL,2019,27625462.0
World,OWID_WRL,2021,27183314.0
World,OWID_WRL,2024,1205320.4
