Entity,Code,Year,Life expectancy - Type: period - Sex: both - Age: 0
Burkina Faso,BFA,1950,33.1172
Burkina Faso,BFA,1960,35.872
Burkina Faso,BFA,1970,39.2393
Burkina Faso,BFA,1980,46.5394
Burkina Faso,BFA,1990,49.4401
Burkina Faso,BFA,2000,50.8468
Burkina Faso,BFA,2010,56.4768
Burkina Faso,BFA,2021,59.2696
Chad,TCD,1950,36.206
Chad,TCD,1960,38.3736
Chad,TCD,1970,40.6034
Chad,TCD,1980,43.0596
Chad,TCD,1990,44.6856
Chad,TCD,2000,47.443
Chad,TCD,2010,49.5843
Chad,TCD,2021,52.5254
Equatorial Guinea,GNQ,1950,39.3245
Equatorial Guinea,GNQ,1960,41.7291
Equatorial Guinea,GNQ,1970,30.2482
Equatorial Guinea,GNQ,1980,47.5628
Equatorial Guinea,GNQ,1990,50.8598
Equatorial Guinea,GNQ,2000,53.2264
Equatorial Guinea,GNQ,2010,57.8777
Equatorial Guinea,GNQ,2021,60.5943
Germany,DEU,1950,66.7975
Germany,DEU,1960,69.2428
Germany,DEU,1970,70.6798
Germany,DEU,1980,73.0924
Germany,DEU,1990,75.3588
Germany,DEU,2000,78.0637
Germany,DEU,2010,80.0864
Germany,DEU,2021,80.6301
Ghana,GHA,1950,43.1088
Ghana,GHA,1960,47.0956
Ghana,GHA,1970,47.8046
Ghana,GHA,1980,51.1167
Ghana,GHA,1990,55.6196
Ghana,GHA,2000,58.195
Ghana,GHA,2010,61.1571
Ghana,GHA,2021,63.7954
Greece,GRC,1950,66.4479
Greece,GRC,1960,69.3517
Greece,GRC,1970,72.8222
Greece,GRC,1980,74.5776
Greece,GRC,1990,77.2959
Greece,GRC,2000,78.3771
Greece,GRC,2010,80.5102
Greece,GRC,2021,80.1106
Greenland,GRL,1950,45.8721
Greenland,GRL,1960,59.887
Greenland,GRL,1970,63.5079
Greenland,GRL,1980,63.4223
Greenland,GRL,1990,63.7226
Greenland,GRL,2000,67.4691
Greenland,GRL,2010,70.3271
Greenland,GRL,2021,72.3542
Malta,MLT,1950,61.5844
Malta,MLT,1960,68.2882
Malta,MLT,1970,69.1233
Malta,MLT,1980,72.1168
Malta,MLT,1990,75.9846
Malta,MLT,2000,77.58
Malta,MLT,2010,81.8134
Malta,MLT,2021,83.7769
No income group available,,1950,51.0482
No income group available,,1960,58.5123
No income group available,,1970,64.0893
No income group available,,1980,68.4326
No income group available,,1990,71.3736
No income group available,,2000,72.3684
No income group available,,2010,72.8242
No income group available,,2021,70.5838
Sao Tome and Principe,STP,1950,40.0701
Sao Tome and Principe,STP,1960,43.0397
Sao Tome and Principe,STP,1970,56.5156
Sao Tome and Principe,STP,1980,59.7387
Sao Tome and Principe,STP,1990,61.471
Sao Tome and Principe,STP,2000,61.6554
Sao Tome and Principe,STP,2010,65.2486
Sao Tome and Principe,STP,2021,67.5912
