Entity,Code,Year,Subject:Gap in GDP per hour worked with respect to the USA - PDB_LV
Australia,AUS,1970,-17.370519
Australia,AUS,1980,-15.707535
Australia,AUS,1990,-23.442063
Australia,AUS,2000,-19.996323
Australia,AUS,2010,-22.590959
Australia,AUS,2016,-19.245832
Canada,CAN,1970,-13.875278
Canada,CAN,1980,-11.318319
Canada,CAN,1990,-16.537722
Canada,CAN,2000,-17.77015
Canada,CAN,2010,-25.387205
Canada,CAN,2016,-25.790879
Denmark,DNK,1970,-32.48321
Denmark,DNK,1980,-19.322648
Denmark,DNK,1990,-11.119736
Denmark,DNK,2000,-7.028463
Denmark,DNK,2010,-2.755006
Denmark,DNK,2016,-0.502624
Greece,GRC,1990,-41.794439
Greece,GRC,2000,-43.068768
Greece,GRC,2010,-46.752025
Greece,GRC,2016,-50.028862
Japan,JPN,1970,-60.685745
Japan,JPN,1980,-48.617219
Japan,JPN,1990,-33.973734
Japan,JPN,2000,-30.078229
Japan,JPN,2010,-36.224883
Japan,JPN,2016,-32.753408
Korea,,1970,-88.53027
Korea,,1980,-85.040747
Korea,,1990,-73.304013
Korea,,2000,-60.200353
Korea,,2010,-52.837596
Korea,,2016,-50.468103
Netherlands,NLD,1970,-19.478758
Netherlands,NLD,1980,1.27573
Netherlands,NLD,1990,2.995525
Netherlands,NLD,2000,2.857142
Netherlands,NLD,2010,-4.208555
Netherlands,NLD,2016,-3.344458
Norway,NOR,1970,-37.997492
Norway,NOR,1980,-17.218779
Norway,NOR,1990,-8.999022
Norway,NOR,2000,20.51293
Norway,NOR,2010,23.946791
Norway,NOR,2016,11.893109
Spain,ESP,1970,-49.617644
Spain,ESP,1980,-31.252483
Spain,ESP,1990,-22.432418
Spain,ESP,2000,-26.735474
Spain,ESP,2010,-28.45098
Spain,ESP,2016,-24.975286
United Kingdom,GBR,1970,-39.415742
United Kingdom,GBR,1980,-30.504564
United Kingdom,GBR,1990,-26.050873
United Kingdom,GBR,2000,-18.774924
United Kingdom,GBR,2010,-23.678132
United Kingdom,GBR,2016,-24.278286
