Entity,Code,Year,"Current number of cases of extensively drug-resistant tuberculosis, in both sexes aged all ages"
American Samoa,ASM,1990,0.0
American Samoa,ASM,1995,0.0010355823
American Samoa,ASM,2000,0.0028241551
American Samoa,ASM,2005,0.0045259153
American Samoa,ASM,2010,0.0045945975
American Samoa,ASM,2015,0.005898459
American Samoa,ASM,2019,0.0074233217
Cape Verde,CPV,1990,0.0
Cape Verde,CPV,1995,0.016828096
Cape Verde,CPV,2000,0.064245865
Cape Verde,CPV,2005,0.13600837
Cape Verde,CPV,2010,0.16621518
Cape Verde,CPV,2015,0.17302819
Cape Verde,CPV,2019,0.20270139
Croatia,HRV,1990,0.0
Croatia,HRV,1995,0.19824857
Croatia,HRV,2000,0.48994443
Croatia,HRV,2005,0.89132524
Croatia,HRV,2010,0.82213557
Croatia,HRV,2015,0.44752774
Croatia,HRV,2019,0.50486857
Guinea,GIN,1990,0.0
Guinea,GIN,1995,0.35229406
Guinea,GIN,2000,1.1079549
Guinea,GIN,2005,2.45644
Guinea,GIN,2010,3.8319025
Guinea,GIN,2015,4.4502172
Guinea,GIN,2019,5.246675
OECD Countries,,1990,0.0
OECD Countries,,1995,70.22146
OECD Countries,,2000,221.74486
OECD Countries,,2005,350.93036
OECD Countries,,2010,353.79047
OECD Countries,,2015,374.4203
OECD Countries,,2019,437.13174
Saudi Arabia,SAU,1990,0.0
Saudi Arabia,SAU,1995,0.7398148
Saudi Arabia,SAU,2000,6.6715407
Saudi Arabia,SAU,2005,11.113785
Saudi Arabia,SAU,2010,15.312228
Saudi Arabia,SAU,2015,18.088291
Saudi Arabia,SAU,2019,22.87276
