Entity,Code,Year,Number of new conflicts - Conflict type: intrastate (internationalized),Number of new conflicts - Conflict type: intrastate (non-internationalized),Number of new conflicts - Conflict type: extrasystemic,Number of new conflicts - Conflict type: interstate
World,OWID_WRL,1946,1,5,3,2
World,OWID_WRL,1949,0,2,0,2
World,OWID_WRL,1952,0,0,1,0
World,OWID_WRL,1955,0,3,1,0
World,OWID_WRL,1958,0,2,0,0
World,OWID_WRL,1961,0,3,1,1
World,OWID_WRL,1964,1,3,2,1
World,OWID_WRL,1967,0,2,0,3
World,OWID_WRL,1970,0,3,0,0
World,OWID_WRL,1973,0,3,0,0
World,OWID_WRL,1976,0,0,0,0
World,OWID_WRL,1979,0,4,0,1
World,OWID_WRL,1982,0,2,0,2
World,OWID_WRL,1985,0,1,0,1
World,OWID_WRL,1988,0,1,0,0
World,OWID_WRL,1991,2,16,0,0
World,OWID_WRL,1994,0,4,0,0
World,OWID_WRL,1997,0,3,0,0
World,OWID_WRL,2000,0,1,0,0
World,OWID_WRL,2003,0,1,0,1
World,OWID_WRL,2006,0,0,0,0
World,OWID_WRL,2009,1,3,0,0
World,OWID_WRL,2012,0,2,0,1
World,OWID_WRL,2015,6,10,0,0
World,OWID_WRL,2018,1,2,0,1
World,OWID_WRL,2022,0,3,0,1
