Entity,Code,Year,Annual CO₂ emissions
Azerbaijan,AZE,1860,8969.0
Azerbaijan,AZE,1880,185626.0
Azerbaijan,AZE,1900,995323.0
Azerbaijan,AZE,1920,410860.0
Azerbaijan,AZE,1940,6385680.0
Azerbaijan,AZE,1960,18984488.0
Azerbaijan,AZE,1980,46109770.0
Azerbaijan,AZE,2000,29765310.0
Azerbaijan,AZE,2022,38062656.0
Colombia,COL,1940,4165195.0
Colombia,COL,1960,16390488.0
Colombia,COL,1980,44174240.0
Colombia,COL,2000,56591360.0
Colombia,COL,2022,99717870.0
Czechia,CZE,1860,202386.0
Czechia,CZE,1880,15564351.0
Czechia,CZE,1900,33720910.0
Czechia,CZE,1920,34073010.0
Czechia,CZE,1940,57696492.0
Czechia,CZE,1960,99052616.0
Czechia,CZE,1980,184677390.0
Czechia,CZE,2000,127235980.0
Czechia,CZE,2022,97969300.0
Saint Kitts and Nevis,KNA,2000,172208.0
Saint Kitts and Nevis,KNA,2022,224486.0
Suriname,SUR,1960,432352.0
Suriname,SUR,1980,2369417.0
Suriname,SUR,2000,2192347.0
Suriname,SUR,2022,3586520.0
Uganda,UGA,1960,421063.0
Uganda,UGA,1980,626023.0
Uganda,UGA,2000,1360870.0
Uganda,UGA,2022,6021782.0
