Entity,Code,Year,Share of annual CO₂ emissions embedded in trade
Bolivia,BOL,1990,-13.637923
Bolivia,BOL,1995,-10.538737
Bolivia,BOL,2000,3.0235913
Bolivia,BOL,2005,-13.344896
Bolivia,BOL,2010,-11.338878
Bolivia,BOL,2015,2.4508352
Bolivia,BOL,2021,2.3724208
Botswana,BWA,1990,0.0
Botswana,BWA,1995,0.0
Botswana,BWA,2000,-13.100966
Botswana,BWA,2005,-35.28076
Botswana,BWA,2010,122.19321
Botswana,BWA,2015,135.7778
Botswana,BWA,2021,86.79153
Egypt,EGY,1990,6.8964353
Egypt,EGY,1995,0.94493335
Egypt,EGY,2000,-4.5575113
Egypt,EGY,2005,-11.128579
Egypt,EGY,2010,-0.7348175
Egypt,EGY,2015,10.054274
Egypt,EGY,2021,7.4405932
Kuwait,KWT,1990,3.322334
Kuwait,KWT,1995,-5.538471
Kuwait,KWT,2000,-39.518013
Kuwait,KWT,2005,-11.764741
Kuwait,KWT,2010,-13.5429735
Kuwait,KWT,2015,3.1511035
Kuwait,KWT,2021,0.95129883
North America (excl. USA),,1990,-1.212368
North America (excl. USA),,1995,-4.120404
North America (excl. USA),,2000,1.0928278
North America (excl. USA),,2005,0.0134859
North America (excl. USA),,2010,5.1208196
North America (excl. USA),,2015,-2.9236264
North America (excl. USA),,2021,-2.1510031
Zambia,ZMB,1990,13.692107
Zambia,ZMB,1995,48.487736
Zambia,ZMB,2000,109.49172
Zambia,ZMB,2005,80.2998
Zambia,ZMB,2010,65.91145
Zambia,ZMB,2015,62.629242
Zambia,ZMB,2021,-12.186251
