Entity,Code,Year,"1.a.1 - Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) - DC_ODA_POVLG"
Dominican Republic,DOM,2000,0.1
Dominican Republic,DOM,2005,0.08
Dominican Republic,DOM,2010,0.09
Dominican Republic,DOM,2015,0.02
Dominican Republic,DOM,2021,0.04
Honduras,HND,2000,0.97
Honduras,HND,2005,0.76
Honduras,HND,2010,0.59
Honduras,HND,2015,0.49
Honduras,HND,2021,0.27
Kazakhstan,KAZ,2000,0.06
Kazakhstan,KAZ,2005,0.03
Kazakhstan,KAZ,2010,0.02
Kazakhstan,KAZ,2015,0.0
Kazakhstan,KAZ,2021,0.01
Tuvalu,TUV,2005,0.13
Tuvalu,TUV,2010,0.61
Tuvalu,TUV,2015,5.48
Tuvalu,TUV,2021,8.09
Zimbabwe,ZWE,2000,0.47
Zimbabwe,ZWE,2005,0.28
Zimbabwe,ZWE,2010,1.4
Zimbabwe,ZWE,2015,1.02
Zimbabwe,ZWE,2021,0.86
