Entity,Code,Year,Fossil fuels (TWh growth)
China,CHN,1966,131.96375
China,CHN,1970,514.2125
China,CHN,1980,27.12793
China,CHN,1990,76.96973
China,CHN,2000,332.3506
China,CHN,2010,1556.2129
China,CHN,2022,-180.64844
Germany,DEU,1966,3.3796387
Germany,DEU,1970,172.58716
Germany,DEU,1980,-157.37451
Germany,DEU,1990,-37.97119
Germany,DEU,2000,-1.1035156
Germany,DEU,2010,116.09668
Germany,DEU,2022,-96.504395
India,IND,1966,16.453308
India,IND,1970,-23.486267
India,IND,1980,31.588013
India,IND,1990,141.39233
India,IND,2000,185.5437
India,IND,2010,217.9082
India,IND,2022,405.45605
Japan,JPN,1966,179.01648
Japan,JPN,1970,333.49146
Japan,JPN,1980,-185.50708
Japan,JPN,1990,191.10547
Japan,JPN,2000,59.405273
Japan,JPN,2010,263.542
Japan,JPN,2022,-34.08252
South Africa,ZAF,1966,2.2033997
South Africa,ZAF,1970,18.151306
South Africa,ZAF,1980,41.215637
South Africa,ZAF,1990,46.63849
South Africa,ZAF,2000,-0.88427734
South Africa,ZAF,2010,9.047974
South Africa,ZAF,2022,-48.762207
United Kingdom,GBR,1966,-2.920166
United Kingdom,GBR,1970,57.361084
United Kingdom,GBR,1980,-228.23486
United Kingdom,GBR,1990,33.75
United Kingdom,GBR,2000,52.425537
United Kingdom,GBR,2010,66.32617
United Kingdom,GBR,2022,-5.892334
United States,USA,1966,796.9209
United States,USA,1970,606.3262
United States,USA,1980,-811.1797
United States,USA,1990,-181.58594
United States,USA,2000,624.75977
United States,USA,2010,777.8008
United States,USA,2022,436.6953
