Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution per 100,000 people, in both sexes aged all ages"
China,CHN,1990,43.94877
China,CHN,1995,50.556087
China,CHN,2000,62.476112
China,CHN,2005,74.299545
China,CHN,2010,86.89359
China,CHN,2015,96.23598
China,CHN,2019,100.09014
India,IND,1990,32.66309
India,IND,1995,31.984333
India,IND,2000,37.233353
India,IND,2005,40.41788
India,IND,2010,49.30824
India,IND,2015,65.510284
India,IND,2019,70.444855
Indonesia,IDN,1990,20.815609
Indonesia,IDN,1995,24.522467
Indonesia,IDN,2000,27.343607
Indonesia,IDN,2005,29.799562
Indonesia,IDN,2010,35.647205
Indonesia,IDN,2015,37.843815
Indonesia,IDN,2019,41.126766
Russia,RUS,1990,78.78975
Russia,RUS,1995,98.9018
Russia,RUS,2000,92.87003
Russia,RUS,2005,92.25527
Russia,RUS,2010,84.103836
Russia,RUS,2015,60.34015
Russia,RUS,2019,50.34123
United States,USA,1990,37.562675
United States,USA,1995,35.67215
United States,USA,2000,32.061817
United States,USA,2005,26.307306
United States,USA,2010,18.873407
United States,USA,2015,15.552077
United States,USA,2019,14.5702095
