Entity,Code,Year,Per capita carbon dioxide emissions from transport
Australia,AUS,1990,3.6385496
Australia,AUS,1995,3.7515965
Australia,AUS,2000,3.9441648
Australia,AUS,2005,3.9327312
Australia,AUS,2010,3.9797149
Australia,AUS,2015,3.952521
Australia,AUS,2020,3.608485
Canada,CAN,1990,4.507686
Canada,CAN,1995,4.680528
Canada,CAN,2000,4.8876724
Canada,CAN,2005,5.29614
Canada,CAN,2010,5.1431813
Canada,CAN,2015,5.032447
Canada,CAN,2020,4.182777
China,CHN,1990,0.08160671
China,CHN,1995,0.10456067
China,CHN,2000,0.19656686
China,CHN,2005,0.30447832
China,CHN,2010,0.42188376
China,CHN,2015,0.5944255
China,CHN,2020,0.62889415
India,IND,1990,0.073961556
India,IND,1995,0.081190184
India,IND,2000,0.08973856
India,IND,2005,0.09994468
India,IND,2010,0.15550369
India,IND,2015,0.19484203
India,IND,2020,0.19303386
Netherlands,NLD,1990,1.8100244
Netherlands,NLD,1995,1.9143285
Netherlands,NLD,2000,2.0189772
Netherlands,NLD,2005,2.1166124
Netherlands,NLD,2010,2.0490913
Netherlands,NLD,2015,1.7604487
Netherlands,NLD,2020,1.4809663
Norway,NOR,1990,2.364653
Norway,NOR,1995,2.6426098
Norway,NOR,2000,2.6852489
Norway,NOR,2005,2.826746
Norway,NOR,2010,2.891765
Norway,NOR,2015,2.766669
Norway,NOR,2020,2.2268336
United Kingdom,GBR,1990,2.009598
United Kingdom,GBR,1995,2.0081005
United Kingdom,GBR,2000,2.0892084
United Kingdom,GBR,2005,2.1065273
United Kingdom,GBR,2010,1.8618532
United Kingdom,GBR,2015,1.8217118
United Kingdom,GBR,2020,1.408153
United States,USA,1990,5.7519693
United States,USA,1995,5.7884393
United States,USA,2000,6.0830693
United States,USA,2005,6.089825
United States,USA,2010,5.398016
United States,USA,2015,5.2372437
United States,USA,2020,4.4886317
