Entity,Code,Year,Deaths - Sex: all - Age: 0 - Variant: estimates
Afghanistan,AFG,1950,106003
Afghanistan,AFG,1960,103790
Afghanistan,AFG,1970,110020
Afghanistan,AFG,1980,110150
Afghanistan,AFG,1990,71127
Afghanistan,AFG,2000,89811
Afghanistan,AFG,2010,74117
Afghanistan,AFG,2021,64116
Namibia,NAM,1950,3061
Namibia,NAM,1960,2772
Namibia,NAM,1970,2790
Namibia,NAM,1980,2638
Namibia,NAM,1990,2612
Namibia,NAM,2000,2845
Namibia,NAM,2010,2185
Namibia,NAM,2021,1923
Samoa,WSM,1950,485
Samoa,WSM,1960,427
Samoa,WSM,1970,323
Samoa,WSM,1980,202
Samoa,WSM,1990,137
Samoa,WSM,2000,102
Samoa,WSM,2010,96
Samoa,WSM,2021,84
