Entity,Code,Year,Electricity from solar and wind - TWh,Electricity from coal - TWh
Canada,CAN,1990,0.001919192,82.22
Canada,CAN,1995,0.06284211,91.60398
Canada,CAN,2000,0.28,109.27
Canada,CAN,2005,1.59,99.24
Canada,CAN,2010,8.89,76.99
Canada,CAN,2015,29.57,59.27
Canada,CAN,2022,43.690002,36.79
France,FRA,1990,0.0,31.47
France,FRA,1995,0.0,24.18
France,FRA,2000,0.060000002,27.0
France,FRA,2005,0.96999997,27.51
France,FRA,2010,10.559999,23.36
France,FRA,2015,29.17,11.89
France,FRA,2022,58.61,4.41
Germany,DEU,1990,0.07,310.03998
Germany,DEU,1995,1.72,289.14
Germany,DEU,2000,9.410001,296.68
Germany,DEU,2005,29.050001,288.14
Germany,DEU,2010,50.28,262.89
Germany,DEU,2015,119.350006,272.2
Germany,DEU,2022,184.92,178.94
Italy,ITA,1990,0.0,32.05
Italy,ITA,1995,0.02,24.119999
Italy,ITA,2000,0.58,26.28
Italy,ITA,2005,2.37,43.61
Italy,ITA,2010,11.03,39.73
Italy,ITA,2015,37.78,43.2
Italy,ITA,2022,48.010002,21.72
United Kingdom,GBR,1990,0.01,204.66
United Kingdom,GBR,1995,0.39,153.84
United Kingdom,GBR,2000,0.94,119.95
United Kingdom,GBR,2005,2.91,134.64
United Kingdom,GBR,2010,10.33,107.59
United Kingdom,GBR,2015,47.8,75.88
United Kingdom,GBR,2022,94.18,5.57
United States,USA,1990,3.1875627,1725.1552
United States,USA,1995,3.7106867,1853.007
United States,USA,2000,6.08,1966.27
United States,USA,2005,18.359999,2012.87
United States,USA,2010,95.86,1847.29
United States,USA,2015,229.75,1352.4
United States,USA,2022,639.38,831.51
