Entity,Code,Year,"Age-standardized deaths that are from digestive diseases per 100,000 people, in both sexes aged all ages"
Chile,CHL,1960,84.65448
Chile,CHL,1970,86.90942
Chile,CHL,1980,74.605995
Chile,CHL,1990,60.208782
Chile,CHL,2000,40.819195
Chile,CHL,2010,35.972485
Martinique,MTQ,1970,65.665405
Martinique,MTQ,2000,19.372194
Martinique,MTQ,2010,13.930527
Mongolia,MNG,2021,45.20105
Switzerland,CHE,1951,38.881573
Switzerland,CHE,1960,33.71722
Switzerland,CHE,1970,34.065308
Switzerland,CHE,1980,24.201315
Switzerland,CHE,1990,16.208227
Switzerland,CHE,2000,17.012535
Switzerland,CHE,2010,13.980558
