Entity,Code,Year,Total | 00002901 || Food available for consumption | 0684pc || grams of fat per day per capita
Guatemala,GTM,1961,31.531914
Guatemala,GTM,1970,37.055443
Guatemala,GTM,1980,41.84909
Guatemala,GTM,1990,42.880493
Guatemala,GTM,2000,42.368614
Guatemala,GTM,2010,62.4609
Guatemala,GTM,2020,64.025764
Mali,MLI,1961,32.136745
Mali,MLI,1970,42.998283
Mali,MLI,1980,39.317852
Mali,MLI,1990,50.499336
Mali,MLI,2000,47.282883
Mali,MLI,2010,58.309464
Mali,MLI,2020,49.052635
Turkmenistan,TKM,2000,66.542694
Turkmenistan,TKM,2010,76.97166
Turkmenistan,TKM,2020,73.24737
