Entity,Code,Year,catch_mean_taxa
Cod and haddock,,1970,1.2272063426527
Cod and haddock,,1980,1.03295044856209
Cod and haddock,,1990,1.07012187580456
Cod and haddock,,2000,0.727566801081225
Cod and haddock,,2010,0.570285804622123
Cod and haddock,,2018,0.420594391592247
Flounder,,1970,1.1375105598374098
Flounder,,1980,1.1698410949221498
Flounder,,1990,1.07983962007085
Flounder,,2000,0.92548435171386
Flounder,,2010,0.7645557363022258
Flounder,,2018,0.359635165098911
Other scorpaenids,,1970,1.07040826043778
Other scorpaenids,,1980,1.13106826400542
Other scorpaenids,,1990,1.09479282407579
Other scorpaenids,,2000,1.31869871653206
Other scorpaenids,,2010,0.900617104230239
Shrimps,,1970,0.7787364202088392
Shrimps,,1980,0.3897310337378029
Shrimps,,1990,0.70553285900289
Shrimps,,2000,1.27009646302251
Shrimps,,2010,0.811505229445167
Tuna,,1970,0.7067219908629209
Tuna,,1980,0.8098053216810079
Tuna,,1990,1.17745745722703
Tuna,,2000,1.5038724802165402
Tuna,,2010,1.2972931392039
