Entity,Code,Year,"Current number of cases of asthma per 100 people, in both sexes aged age-standardized"
Eswatini,SWZ,1990,5.161167
Eswatini,SWZ,1995,5.5222917
Eswatini,SWZ,2000,5.7523446
Eswatini,SWZ,2005,5.55194
Eswatini,SWZ,2010,5.0847526
Eswatini,SWZ,2015,4.921192
Eswatini,SWZ,2019,4.646918
Italy,ITA,1990,5.629275
Italy,ITA,1995,5.8299646
Italy,ITA,2000,4.928615
Italy,ITA,2005,4.32445
Italy,ITA,2010,4.1928487
Italy,ITA,2015,3.3884149
Italy,ITA,2019,4.027891
Nauru,NRU,1990,3.4794664
Nauru,NRU,1995,3.1198194
Nauru,NRU,2000,3.0460198
Nauru,NRU,2005,2.8262374
Nauru,NRU,2010,2.5549219
Nauru,NRU,2015,2.5181072
Nauru,NRU,2019,3.2898283
Tajikistan,TJK,1990,2.6109319
Tajikistan,TJK,1995,2.4573574
Tajikistan,TJK,2000,2.3579378
Tajikistan,TJK,2005,2.1932452
Tajikistan,TJK,2010,2.1211913
Tajikistan,TJK,2015,2.0860586
Tajikistan,TJK,2019,2.2647383
