Entity,Code,Year,Pol3 (% of one-year-olds immunized)
African Region (WHO),,1980,6
African Region (WHO),,1985,32
African Region (WHO),,1990,58
African Region (WHO),,1995,54
African Region (WHO),,2000,54
African Region (WHO),,2005,65
African Region (WHO),,2010,72
African Region (WHO),,2015,72
African Region (WHO),,2021,70
Eastern Mediterranean Region (WHO),,1980,20
Eastern Mediterranean Region (WHO),,1985,47
Eastern Mediterranean Region (WHO),,1990,70
Eastern Mediterranean Region (WHO),,1995,68
Eastern Mediterranean Region (WHO),,2000,73
Eastern Mediterranean Region (WHO),,2005,76
Eastern Mediterranean Region (WHO),,2010,75
Eastern Mediterranean Region (WHO),,2015,80
Eastern Mediterranean Region (WHO),,2021,83
European Region (WHO),,1980,73
European Region (WHO),,1985,90
European Region (WHO),,1990,84
European Region (WHO),,1995,89
European Region (WHO),,2000,94
European Region (WHO),,2005,95
European Region (WHO),,2010,95
European Region (WHO),,2015,94
European Region (WHO),,2021,94
Region of the Americas (WHO),,1980,67
Region of the Americas (WHO),,1985,66
Region of the Americas (WHO),,1990,74
Region of the Americas (WHO),,1995,85
Region of the Americas (WHO),,2000,89
Region of the Americas (WHO),,2005,92
Region of the Americas (WHO),,2010,93
Region of the Americas (WHO),,2015,91
Region of the Americas (WHO),,2021,79
South-East Asia Region (WHO),,1980,3
South-East Asia Region (WHO),,1985,15
South-East Asia Region (WHO),,1990,67
South-East Asia Region (WHO),,1995,72
South-East Asia Region (WHO),,2000,64
South-East Asia Region (WHO),,2005,71
South-East Asia Region (WHO),,2010,80
South-East Asia Region (WHO),,2015,88
South-East Asia Region (WHO),,2021,82
Western Pacific Region (WHO),,1980,5
Western Pacific Region (WHO),,1985,82
Western Pacific Region (WHO),,1990,95
Western Pacific Region (WHO),,1995,82
Western Pacific Region (WHO),,2000,86
Western Pacific Region (WHO),,2005,88
Western Pacific Region (WHO),,2010,97
Western Pacific Region (WHO),,2015,96
Western Pacific Region (WHO),,2021,90
World,OWID_WRL,1980,21
World,OWID_WRL,1985,51
World,OWID_WRL,1990,75
World,OWID_WRL,1995,73
World,OWID_WRL,2000,73
World,OWID_WRL,2005,78
World,OWID_WRL,2010,83
World,OWID_WRL,2015,85
World,OWID_WRL,2021,80
