Entity,Code,Year,"Deaths that are from all causes attributed to alcohol use, in both sexes aged all ages"
Australia,AUS,1990,6050.9517
Australia,AUS,1995,5782.51
Australia,AUS,2000,6161.894
Australia,AUS,2005,6582.9297
Australia,AUS,2010,7246.763
Australia,AUS,2015,8057.456
Australia,AUS,2019,8575.864
Mali,MLI,1990,1323.2457
Mali,MLI,1995,1385.2689
Mali,MLI,2000,1418.1399
Mali,MLI,2005,1503.2714
Mali,MLI,2010,1606.3894
Mali,MLI,2015,1796.2236
Mali,MLI,2019,2070.5066
Moldova,MDA,1990,4627.928
Moldova,MDA,1995,6158.57
Moldova,MDA,2000,4808.4917
Moldova,MDA,2005,5050.7974
Moldova,MDA,2010,4678.9834
Moldova,MDA,2015,4317.253
Moldova,MDA,2019,3799.5662
