Entity,Code,Year,13.1.3 - Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%) - SG_DSR_SILS
Guatemala,GTM,2005,0.0
Guatemala,GTM,2006,0.0
Guatemala,GTM,2008,0.0
Guatemala,GTM,2010,0.0
Guatemala,GTM,2012,0.0
Guatemala,GTM,2014,0.0
Guatemala,GTM,2016,29.41
Guatemala,GTM,2018,26.76
Guatemala,GTM,2020,75.59
Guatemala,GTM,2021,85.88
Jamaica,JAM,2020,100.0
Poland,POL,2016,100.0
Poland,POL,2018,100.0
Poland,POL,2020,100.0
Slovenia,SVN,2016,100.0
Slovenia,SVN,2018,100.0
Slovenia,SVN,2020,100.0
Slovenia,SVN,2021,100.0
South Africa,ZAF,2016,92.31
South Africa,ZAF,2020,98.08
Thailand,THA,2016,31.84
Thailand,THA,2018,35.42
Thailand,THA,2020,52.24
Tuvalu,TUV,2016,0.0
Tuvalu,TUV,2018,100.0
Tuvalu,TUV,2020,100.0
Tuvalu,TUV,2021,100.0
