Entity,Code,Year,"2.c.1 - Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index - AG_FPA_CFPI"
Congo,COG,2010,0.44
Congo,COG,2012,1.38
Congo,COG,2014,-1.34
Congo,COG,2016,-0.86
Congo,COG,2018,-0.14
Congo,COG,2020,0.31
Congo,COG,2021,0.74
Liberia,LBR,2010,-0.15
Liberia,LBR,2012,0.3
Liberia,LBR,2014,-0.5
Liberia,LBR,2016,-0.33
Liberia,LBR,2018,-0.37
Liberia,LBR,2020,0.55
Liberia,LBR,2021,-0.91
Lithuania,LTU,2010,-0.68
Lithuania,LTU,2012,-0.34
Lithuania,LTU,2014,-0.13
Lithuania,LTU,2016,-0.14
Lithuania,LTU,2018,-0.86
Lithuania,LTU,2020,0.12
Lithuania,LTU,2021,-0.86
Palau,PLW,2010,-0.34
Palau,PLW,2012,-0.19
Palau,PLW,2014,-0.86
Palau,PLW,2016,-0.49
Palau,PLW,2018,0.15
Palau,PLW,2020,0.4
Palau,PLW,2021,0.41
