Entity,Code,Year,Solar and wind electricity per capita - kWh
Australia,AUS,1990,0.0
Australia,AUS,2000,9.464733
Australia,AUS,2010,271.12744
Australia,AUS,2022,2692.7798
India,IND,1980,0.0
India,IND,1990,0.034812976
India,IND,2000,1.5005186
India,IND,2010,15.774452
India,IND,2022,116.577156
New Zealand,NZL,1980,0.0
New Zealand,NZL,1990,0.0
New Zealand,NZL,2000,31.126257
New Zealand,NZL,2010,372.72696
New Zealand,NZL,2022,655.7012
Portugal,PRT,1965,0.0
Portugal,PRT,1970,0.0
Portugal,PRT,1980,0.0
Portugal,PRT,1990,0.0
Portugal,PRT,2000,16.503841
Portugal,PRT,2010,886.81946
Portugal,PRT,2022,1589.9355
South Africa,ZAF,1980,0.0
South Africa,ZAF,1990,0.0
South Africa,ZAF,2000,0.0
South Africa,ZAF,2010,0.9655318
South Africa,ZAF,2022,265.46948
Spain,ESP,1965,0.0
Spain,ESP,1970,0.0
Spain,ESP,1980,0.0
Spain,ESP,1990,0.5142725
Spain,ESP,2000,116.34286
Spain,ESP,2010,1104.9373
Spain,ESP,2022,1991.8572
United States,USA,1990,12.848738
United States,USA,2000,21.529856
United States,USA,2010,308.05038
United States,USA,2022,1890.036
