Entity,Code,Year,Share of global annual CO₂ emissions,Share of world population,World Bank's income classification
Afghanistan,AFG,2022,0.032699913,0.51571447,Low-income countries
Albania,ALB,2022,0.01333717,0.035639882,Upper-middle-income countries
Algeria,DZA,2022,0.4746868,0.56304246,Lower-middle-income countries
Andorra,AND,2022,0.0009923207,0.0010011529,High-income countries
Antigua and Barbuda,ATG,2022,0.0016209837,0.001175809,High-income countries
Australia,AUS,2022,1.0559394,0.32823905,High-income countries
Austria,AUT,2022,0.16551489,0.11209404,High-income countries
Azerbaijan,AZE,2022,0.10245727,0.12988015,Upper-middle-income countries
Bahamas,BHS,2022,0.005706628,0.00514086,High-income countries
Bahrain,BHR,2022,0.101738594,0.01846041,High-income countries
Bangladesh,BGD,2022,0.27484235,2.1465092,Lower-middle-income countries
Barbados,BRB,2022,0.0033185573,0.0035315647,High-income countries
Benin,BEN,2022,0.022697736,0.16743183,Lower-middle-income countries
Bhutan,BTN,2022,0.0028412761,0.009811244,Lower-middle-income countries
Bolivia,BOL,2022,0.057856966,0.15327841,Lower-middle-income countries
Brazil,BRA,2022,1.3014269,2.6998203,Upper-middle-income countries
British Virgin Islands,VGB,2022,0.00042203203,0.00039287258,High-income countries
Brunei,BRN,2022,0.028946837,0.005630045,High-income countries
Burundi,BDI,2022,0.002149275,0.16162273,Low-income countries
Central African Republic,CAF,2022,0.0006089564,0.06995705,Low-income countries
Chad,TCD,2022,0.006377436,0.22223297,Low-income countries
Chile,CHL,2022,0.2271284,0.24581164,High-income countries
China,CHN,2022,30.677908,17.87923,Upper-middle-income countries
Colombia,COL,2022,0.2684211,0.65044945,Upper-middle-income countries
Comoros,COM,2022,0.0011110697,0.010492438,Lower-middle-income countries
Congo,COG,2022,0.020005312,0.07486334,Lower-middle-income countries
Croatia,HRV,2022,0.047176816,0.050536778,High-income countries
Cyprus,CYP,2022,0.018921666,0.015692484,High-income countries
Democratic Republic of Congo,COD,2022,0.009694793,1.2414911,Low-income countries
Egypt,EGY,2022,0.69704753,1.3917071,Lower-middle-income countries
Eritrea,ERI,2022,0.0018757201,0.046194263,Low-income countries
Ethiopia,ETH,2022,0.051341504,1.5470634,Low-income countries
Germany,DEU,2022,1.7916783,1.0453761,High-income countries
Ghana,GHA,2022,0.056008246,0.4197546,Lower-middle-income countries
Guinea,GIN,2022,0.013334163,0.17378265,Lower-middle-income countries
Guyana,GUY,2022,0.00952125,0.010140643,High-income countries
High-income countries,,2022,33.945103,15.349287,
Iceland,ISL,2022,0.009535729,0.004675838,High-income countries
India,IND,2022,7.6168523,17.769962,Lower-middle-income countries
Kiribati,KIR,2022,0.00018315853,0.0016455833,Lower-middle-income countries
Kuwait,KWT,2022,0.29391825,0.053527646,High-income countries
Low-income countries,,2022,0.5678494,8.997843,
Lower-middle-income countries,,2022,17.161392,43.222385,
Madagascar,MDG,2022,0.011853616,0.37130192,Low-income countries
Mongolia,MNG,2022,0.10200458,0.042612266,Lower-middle-income countries
Myanmar,MMR,2022,0.0940038,0.67935544,Lower-middle-income countries
Nauru,NRU,2022,0.00014245573,0.0001591327,High-income countries
Pakistan,PAK,2022,0.53889924,2.9570127,Lower-middle-income countries
Peru,PER,2022,0.16398779,0.42694846,Upper-middle-income countries
Russia,RUS,2022,4.44734,1.814563,Upper-middle-income countries
Samoa,WSM,2022,0.00067158125,0.0027885525,Lower-middle-income countries
Sao Tome and Principe,STP,2022,0.00035600475,0.0028512853,Lower-middle-income countries
Togo,TGO,2022,0.006932907,0.110954024,Low-income countries
Tuvalu,TUV,2022,3.0525076e-05,0.0001421298,Upper-middle-income countries
United States,USA,2022,13.613278,4.241823,High-income countries
Upper-middle-income countries,,2022,45.499817,32.037895,
