Entity,Code,Year,Share of global annual CO₂ emissions from oil
Burkina Faso,BFA,1960,0.0014066586
Burkina Faso,BFA,1980,0.0048316577
Burkina Faso,BFA,2000,0.009625154
Burkina Faso,BFA,2022,0.040278118
Burundi,BDI,1960,0.001165529
Burundi,BDI,1980,0.001557958
Burundi,BDI,2000,0.0025676612
Burundi,BDI,2022,0.006448841
Chile,CHL,1900,0.0
Chile,CHL,1920,0.0
Chile,CHL,1940,0.0
Chile,CHL,1960,0.22154872
Chile,CHL,1980,0.1725634
Chile,CHL,2000,0.29798764
Chile,CHL,2022,0.40851036
Croatia,HRV,1900,0.0
Croatia,HRV,1920,0.0
Croatia,HRV,1940,0.0009542126
Croatia,HRV,1960,0.100076966
Croatia,HRV,1980,0.15458018
Croatia,HRV,2000,0.10862717
Croatia,HRV,2022,0.079079434
Germany,DEU,1855,0.0
Germany,DEU,1880,4.2608957
Germany,DEU,1900,4.4992614
Germany,DEU,1920,0.030243687
Germany,DEU,1940,0.3683338
Germany,DEU,1960,2.898316
Germany,DEU,1980,4.609319
Germany,DEU,2000,3.2178874
Germany,DEU,2022,2.0894597
