Entity,Code,Year,Annual CO₂ emissions,Annual consumption-based CO₂ emissions
Africa,,1990,658281400.0,582724000.0
Africa,,1995,844556600.0,751732800.0
Africa,,2000,930042600.0,732651400.0
Africa,,2005,1063180000.0,881782100.0
Africa,,2010,1215373700.0,1096000800.0
Africa,,2015,1319787300.0,1333181600.0
Africa,,2022,1416626600.0,
Asia (GCP),,1990,5766321000.0,5964656600.0
Asia (GCP),,1995,7132888600.0,7170488000.0
Asia (GCP),,2000,7940076500.0,7875559000.0
Asia (GCP),,2005,10832524000.0,9993433000.0
Asia (GCP),,2010,14366534000.0,13293698000.0
Asia (GCP),,2015,16612157000.0,15712869000.0
Asia (GCP),,2022,19102590000.0,
Cyprus,CYP,1990,4644861.0,6791845.0
Cyprus,CYP,1995,5861933.0,7811782.5
Cyprus,CYP,2000,7104597.0,7703731.0
Cyprus,CYP,2005,7957322.0,9663499.0
Cyprus,CYP,2010,8101123.0,8651923.0
Cyprus,CYP,2015,6971575.0,6691364.5
Cyprus,CYP,2022,7029358.0,
OECD (GCP),,1990,12043387000.0,12940837000.0
OECD (GCP),,1995,12531393000.0,13568220000.0
OECD (GCP),,2000,13475198000.0,14895317000.0
OECD (GCP),,2005,13954725000.0,15967615000.0
OECD (GCP),,2010,13247230000.0,15035255000.0
OECD (GCP),,2015,12680914000.0,14094404000.0
OECD (GCP),,2022,11767842000.0,
