Entity,Code,Year,Vaccine importance (strongly agree)
Brazil,BRA,2015,92.87
Brazil,BRA,2016,88.57
Brazil,BRA,2018,82.81
Brazil,BRA,2019,86.91
China,CHN,2015,43.13
China,CHN,2016,51.15
China,CHN,2018,69.14
China,CHN,2019,85.75
Congo,COG,2015,79.88
Congo,COG,2016,78.74
Congo,COG,2018,78.87
Congo,COG,2019,72.35
France,FRA,2015,35.45
France,FRA,2016,41.39
France,FRA,2018,48.91
France,FRA,2019,52.79
Japan,JPN,2015,41.76
Japan,JPN,2016,46.23
Japan,JPN,2018,23.12
Japan,JPN,2019,49.08
Sri Lanka,LKA,2015,79.68
Sri Lanka,LKA,2016,76.06
Sri Lanka,LKA,2018,78.48
Sri Lanka,LKA,2019,80.48
United States,USA,2015,63.09
United States,USA,2016,72.12
United States,USA,2018,75.06
United States,USA,2019,74.67
