Entity,Code,Year,"Deaths that are from invasive non-typhoidal salmonella (ints) per 100,000 people, in both sexes aged under 5"
Croatia,HRV,1990,0.029983686
Croatia,HRV,1995,0.0042817607
Croatia,HRV,2000,0.0028240792
Croatia,HRV,2005,0.0023475892
Croatia,HRV,2010,0.001702531
Croatia,HRV,2015,0.0011211823
Croatia,HRV,2019,0.0010182369
Eastern Mediterranean Region (WHO),,1990,1.1257714
Eastern Mediterranean Region (WHO),,1995,1.2090288
Eastern Mediterranean Region (WHO),,2000,1.296333
Eastern Mediterranean Region (WHO),,2005,1.3524954
Eastern Mediterranean Region (WHO),,2010,0.9992285
Eastern Mediterranean Region (WHO),,2015,1.165965
Eastern Mediterranean Region (WHO),,2019,1.0060751
Grenada,GRD,1990,0.0143635245
Grenada,GRD,1995,0.010597403
Grenada,GRD,2000,0.01049873
Grenada,GRD,2005,0.0082473615
Grenada,GRD,2010,0.0065671476
Grenada,GRD,2015,0.0032109804
Grenada,GRD,2019,0.0026214004
Malaysia,MYS,1990,0.23628211
Malaysia,MYS,1995,0.20718724
Malaysia,MYS,2000,0.18445401
Malaysia,MYS,2005,0.18228081
Malaysia,MYS,2010,0.14737067
Malaysia,MYS,2015,0.1441943
Malaysia,MYS,2019,0.12387482
