Entity,Code,Year,CO2 emissions (metric tons per capita),Energy use (kg of oil equivalent per capita),Population (historical estimates),Continent
Africa,,2015,,,1201108186.0,
Asia,,2015,,,4458250376.0,
Australia,AUS,2015,15.863288,63776.784732,23820240.0,Oceania
Belgium,BEL,2015,8.437852,54518.962810000005,11248306.0,Europe
Chile,CHL,2015,4.6015353,23454.075625,17870122.0,South America
Denmark,DNK,2015,5.929463,32757.226635000003,5677795.0,Europe
Estonia,EST,2015,11.813834,48535.789521,1314658.0,Europe
Europe,,2015,,,743294457.0,
European Union (27),,2015,6.513484,38127.23376,442703856.0,
Finland,FIN,2015,7.8145375,68904.261,5479457.0,Europe
France,FRA,2015,4.6778073,42938.167014000006,63809768.0,Europe
Greece,GRC,2015,6.2850695,25377.48573,10806644.0,Europe
High-income countries,,2015,10.412094,53565.95409,1189869736.0,
Hungary,HUN,2015,4.4071803,28292.902271,9844250.0,Europe
Iceland,ISL,2015,6.227045,203279.52559,331068.0,Europe
Ireland,IRL,2015,7.881825,32795.154391000004,4665764.0,Europe
Italy,ITA,2015,5.5632596,28862.805998000003,60232908.0,Europe
Japan,JPN,2015,9.276629,39874.119073,127250936.0,Asia
Mexico,MEX,2015,3.9253466,18132.55397,120149896.0,North America
Netherlands,NLD,2015,9.292251,49230.30172,17041110.0,Europe
North America,,2015,,,570726015.0,
Oceania,,2015,,,40403644.0,
Poland,POL,2015,7.6100893,28961.099269,38553148.0,Europe
South America,,2015,,,413134461.0,
South Korea,KOR,2015,11.914743,62957.23375100001,50994396.0,Asia
Sweden,SWE,2015,3.9993117,59345.396528000005,9849344.0,Europe
Switzerland,CHE,2015,4.719649,34425.654805,8281735.0,Europe
United States,USA,2015,15.560035,79130.480458,324607776.0,North America
