Entity,Code,Year,"14.6.1 - Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (level of implementation: 1 lowest to 5 highest) - ER_REG_UNFCIM"
Africa (UN),,2018,4
Africa (UN),,2020,4
Africa (UN),,2022,3
Asia (UN),,2018,4
Asia (UN),,2020,4
Asia (UN),,2022,4
Europe (UN),,2018,5
Europe (UN),,2020,5
Europe (UN),,2022,5
Latin America and the Caribbean (UN),,2018,3
Latin America and the Caribbean (UN),,2020,4
Latin America and the Caribbean (UN),,2022,4
Northern America (UN),,2018,5
Oceania (UN),,2018,4
Oceania (UN),,2020,3
Oceania (UN),,2022,4
World,OWID_WRL,2018,3
World,OWID_WRL,2020,4
World,OWID_WRL,2022,4
