Entity,Code,Year,Mean BMI (female)
Brazil,BRA,1975,22.91392441
Brazil,BRA,1980,23.45961645
Brazil,BRA,1985,23.95622464
Brazil,BRA,1990,24.40271538
Brazil,BRA,1995,24.80850796
Brazil,BRA,2000,25.24370161
Brazil,BRA,2005,25.71188354
Brazil,BRA,2010,26.26620868
Brazil,BRA,2016,27.03856248
"Central Asia, Middle East and North Africa",,1975,24.01340158
"Central Asia, Middle East and North Africa",,1980,24.65365785
"Central Asia, Middle East and North Africa",,1985,25.28043244
"Central Asia, Middle East and North Africa",,1990,25.87613896
"Central Asia, Middle East and North Africa",,1995,26.41543941
"Central Asia, Middle East and North Africa",,2000,26.94800436
"Central Asia, Middle East and North Africa",,2005,27.43421022
"Central Asia, Middle East and North Africa",,2010,27.89841679
"Central Asia, Middle East and North Africa",,2016,28.46213527
Chad,TCD,1975,18.2131159
Chad,TCD,1980,18.85542108
Chad,TCD,1985,19.39458345
Chad,TCD,1990,19.86486942
Chad,TCD,1995,20.31728127
Chad,TCD,2000,20.80568646
Chad,TCD,2005,21.27730206
Chad,TCD,2010,21.63828966
Chad,TCD,2016,21.97868164
Denmark,DNK,1975,24.42038542
Denmark,DNK,1980,24.33938488
Denmark,DNK,1985,24.28184797
Denmark,DNK,1990,24.2818938
Denmark,DNK,1995,24.34836198
Denmark,DNK,2000,24.44853352
Denmark,DNK,2005,24.51945555
Denmark,DNK,2010,24.5580831
Denmark,DNK,2016,24.55769869
Greece,GRC,1975,25.73014853
Greece,GRC,1980,25.98931905
Greece,GRC,1985,26.21358411
Greece,GRC,1990,26.42076756
Greece,GRC,1995,26.63135911
Greece,GRC,2000,26.81789635
Greece,GRC,2005,26.94442879
Greece,GRC,2010,26.98860922
Greece,GRC,2016,26.9157422
Puerto Rico,PRI,1975,24.22924745
Puerto Rico,PRI,1980,24.89434773
Puerto Rico,PRI,1985,25.80160865
Puerto Rico,PRI,1990,26.68812905
Puerto Rico,PRI,1995,27.22979315
Puerto Rico,PRI,2000,27.6137867
Puerto Rico,PRI,2005,27.94587588
Puerto Rico,PRI,2010,28.26086077
Puerto Rico,PRI,2016,28.67183508
Zimbabwe,ZWE,1975,23.85344166
Zimbabwe,ZWE,1980,24.10512909
Zimbabwe,ZWE,1985,24.3333391
Zimbabwe,ZWE,1990,24.53293717
Zimbabwe,ZWE,1995,24.68793499
Zimbabwe,ZWE,2000,24.859916
Zimbabwe,ZWE,2005,25.04416187
Zimbabwe,ZWE,2010,25.21625778
Zimbabwe,ZWE,2016,25.43148733
