Entity,Code,Year,"Labor force participation rate for ages 15-24, female (%) (national estimate)",Population (historical estimates),Continent,"Labor force participation rate for ages 15-24, female (%) (national estimate).1",Year.1
Africa,,1980,,481543145.0,,,
Africa,,2020,,1360677453.0,,,
Algeria,DZA,1980,,18739378.0,,5.15,2017.0
Algeria,DZA,2020,,43451668.0,,5.15,2017.0
Asia,,1980,,2635334410.0,,,
Asia,,2020,,4663086623.0,,,
Australia,AUS,1980,66.18,14706329.0,,66.52,2020.0
Australia,AUS,2020,66.52,25670052.0,,66.52,2020.0
Austria,AUT,1980,51.63,7547564.0,,52.79,2020.0
Austria,AUT,2020,52.79,8907780.0,,52.79,2020.0
Bangladesh,BGD,1980,,83929768.0,,26.35,2017.0
Bangladesh,BGD,2020,,167420944.0,,26.35,2017.0
Benin,BEN,1980,,3833947.0,,33.92,2018.0
Benin,BEN,2020,,12643121.0,,33.92,2018.0
Botswana,BWA,2020,31.8,2546404.0,,31.8,2020.0
Botswana,BWA,1980,,938582.0,,31.8,2020.0
Brazil,BRA,1980,34.82,122288384.0,,44.27,2020.0
Brazil,BRA,2020,44.27,213196304.0,,44.27,2020.0
Brunei,BRN,2020,35.02,441736.0,,35.02,2020.0
Brunei,BRN,1980,,187931.0,,35.02,2020.0
Bulgaria,BGR,2020,18.23,6979181.0,,18.23,2020.0
Bulgaria,BGR,1980,,8980602.0,,18.23,2020.0
Burkina Faso,BFA,1980,,6932969.0,,23.93,2018.0
Burkina Faso,BFA,2020,,21522632.0,,23.93,2018.0
Canada,CAN,1980,63.89,24511512.0,,61.56,2020.0
Canada,CAN,2020,61.56,37888704.0,,61.56,2020.0
Chile,CHL,1980,25.31,11469825.0,,22.09,2020.0
Chile,CHL,2020,22.09,19300318.0,,22.09,2020.0
Colombia,COL,2020,38.17,50930656.0,,38.17,2020.0
Colombia,COL,1980,,26176206.0,,38.17,2020.0
Costa Rica,CRI,2020,36.99,5123107.0,,36.99,2020.0
Costa Rica,CRI,1980,,2414306.0,,36.99,2020.0
Egypt,EGY,1980,8.25,43748552.0,,7.33,2020.0
Egypt,EGY,2020,7.33,107465128.0,,7.33,2020.0
Europe,,1980,,694116870.0,,,
Europe,,2020,,747462669.0,,,
Fiji,FJI,1980,,644596.0,,26.96,2016.0
Fiji,FJI,2020,,920430.0,,26.96,2016.0
Finland,FIN,1980,21.3,4779423.0,,51.36,2020.0
Finland,FIN,2020,51.36,5529468.0,,51.36,2020.0
France,FRA,1980,41.62,53713836.0,,33.05,2020.0
France,FRA,2020,33.05,64480052.0,,33.05,2020.0
Gambia,GMB,1980,,718597.0,,13.96,2018.0
Gambia,GMB,2020,,2574005.0,,13.96,2018.0
Greece,GRC,2020,19.31,10512232.0,,19.31,2020.0
Greece,GRC,1980,,9307159.0,,19.31,2020.0
Guatemala,GTM,1980,16.28,6987769.0,,32.33,2019.0
Guatemala,GTM,2020,,17362716.0,,32.33,2019.0
Hong Kong,HKG,1980,60.63,4978551.0,,37.14,2020.0
Hong Kong,HKG,2020,37.14,7500955.0,,37.14,2020.0
Iceland,ISL,2020,75.43,366682.0,,75.43,2020.0
Iceland,ISL,1980,,228276.0,,75.43,2020.0
India,IND,2020,13.01,1396387072.0,,13.01,2020.0
India,IND,1980,,696828352.0,,13.01,2020.0
Indonesia,IDN,1980,32.64,148177104.0,,38.9,2020.0
Indonesia,IDN,2020,38.9,271857984.0,,38.9,2020.0
Iran,IRN,2020,7.98,87290192.0,,7.98,2020.0
Iran,IRN,1980,,38520668.0,,7.98,2020.0
Iraq,IRQ,1980,,13653368.0,,4.91,2017.0
Iraq,IRQ,2020,,42556988.0,,4.91,2017.0
Ireland,IRL,2020,43.09,4946123.0,,43.09,2020.0
Ireland,IRL,1980,,3391393.0,,43.09,2020.0
Italy,ITA,1980,41.2,56329480.0,,18.78,2020.0
Italy,ITA,2020,18.78,59500576.0,,18.78,2020.0
Japan,JPN,1980,43.9,117624200.0,,49.1,2020.0
Japan,JPN,2020,49.1,125244760.0,,49.1,2020.0
Kiribati,KIR,1980,,60835.0,,16.56,2019.0
Kiribati,KIR,2020,,126473.0,,16.56,2019.0
Lebanon,LBN,1980,,2963707.0,,28.75,2019.0
Lebanon,LBN,2020,,5662924.0,,28.75,2019.0
Liberia,LBR,1980,,1932174.0,,10.78,2017.0
Liberia,LBR,2020,,5087591.0,,10.78,2017.0
Liechtenstein,LIE,1980,72.68,25027.0,,46.73,2015.0
Liechtenstein,LIE,2020,,38783.0,,46.73,2015.0
Luxembourg,LUX,2020,30.95,630401.0,,30.95,2020.0
Luxembourg,LUX,1980,,363745.0,,30.95,2020.0
Malawi,MWI,2020,32.39,19377058.0,,32.39,2020.0
Malawi,MWI,1980,,6267373.0,,32.39,2020.0
Mali,MLI,1980,,7372590.0,,40.2,2018.0
Mali,MLI,2020,,21224042.0,,40.2,2018.0
Mauritania,MRT,1980,,1506704.0,,13.77,2017.0
Mauritania,MRT,2020,,4498605.0,,13.77,2017.0
Mauritius,MUS,2020,64.43,1297830.0,,64.43,2020.0
Mauritius,MUS,1980,,954876.0,,64.43,2020.0
Mexico,MEX,1980,31.54,67705184.0,,28.65,2020.0
Mexico,MEX,2020,28.65,125998296.0,,28.65,2020.0
Morocco,MAR,1980,,19678446.0,,15.71,2016.0
Morocco,MAR,2020,,36688768.0,,15.71,2016.0
Mozambique,MOZ,1980,77.98,11413590.0,,63.09,2015.0
Mozambique,MOZ,2020,,31178242.0,,63.09,2015.0
Myanmar,MMR,1980,,33465782.0,,39.72,2019.0
Myanmar,MMR,2020,,53423200.0,,39.72,2019.0
Nepal,NPL,1980,,15600443.0,,20.29,2017.0
Nepal,NPL,2020,,29348626.0,,20.29,2017.0
Netherlands,NLD,1980,48.41,14130383.0,,69.86,2020.0
Netherlands,NLD,2020,69.86,17434562.0,,69.86,2020.0
Nigeria,NGA,1980,,72951440.0,,23.06,2019.0
Nigeria,NGA,2020,,208327408.0,,23.06,2019.0
North America,,1980,,368574942.0,,,
North America,,2020,,594263186.0,,,
Oceania,,1980,,22920632.0,,,
Oceania,,2020,,43933757.0,,,
Pakistan,PAK,1980,6.03,80624056.0,,19.94,2019.0
Pakistan,PAK,2020,,227196736.0,,19.94,2019.0
Paraguay,PRY,2020,43.95,6618700.0,,43.95,2020.0
Paraguay,PRY,1980,,3078914.0,,43.95,2020.0
Peru,PER,1980,28.1,17492406.0,,45.46,2020.0
Peru,PER,2020,45.46,33304768.0,,45.46,2020.0
Philippines,PHL,2020,23.26,112190984.0,,23.26,2020.0
Philippines,PHL,1980,,48419544.0,,23.26,2020.0
Poland,POL,2020,27.38,38428368.0,,27.38,2020.0
Poland,POL,1980,,35521432.0,,27.38,2020.0
Portugal,PRT,1980,61.99,9785251.0,,28.04,2020.0
Portugal,PRT,2020,28.04,10298186.0,,28.04,2020.0
