Entity,Code,Year,electmulpar_leg_row_owid,electmulpar_leg_high_row_owid,electmulpar_leg_low_row_owid
Argentina,ARG,1860,1,1,0
Argentina,ARG,1880,1,1,1
Argentina,ARG,1900,1,1,1
Argentina,ARG,1920,1,1,1
Argentina,ARG,1940,1,1,1
Argentina,ARG,1960,1,1,1
Argentina,ARG,2000,1,1,1
Argentina,ARG,2018,1,1,1
Argentina,ARG,2022,1,1,1
Australia,AUS,1843,1,1,1
Australia,AUS,1860,1,1,1
Australia,AUS,1880,1,1,1
Australia,AUS,1900,1,1,1
Australia,AUS,1920,1,1,1
Australia,AUS,1940,1,1,1
Australia,AUS,1960,1,1,1
Australia,AUS,1980,1,1,1
Australia,AUS,2000,1,1,1
Australia,AUS,2018,1,1,1
Australia,AUS,2022,1,1,1
Botswana,BWA,1980,1,1,1
Botswana,BWA,2000,1,1,1
Botswana,BWA,2018,1,1,1
Botswana,BWA,2022,1,1,1
China,CHN,1920,0,1,0
