Entity,Code,Year,"Prevalence of overweight among adults, BMI >= 25 (age-standardized estimate) (%) - Sex: male - Age group: 18+  years"
Brazil,BRA,1975,24.6
Brazil,BRA,1980,28.2
Brazil,BRA,1985,32.1
Brazil,BRA,1990,36.2
Brazil,BRA,1995,40.4
Brazil,BRA,2000,44.8
Brazil,BRA,2005,49.1
Brazil,BRA,2010,53.0
Brazil,BRA,2016,57.6
China,CHN,1975,8.9
China,CHN,1980,10.2
China,CHN,1985,12.1
China,CHN,1990,14.4
China,CHN,1995,17.1
China,CHN,2000,20.4
China,CHN,2005,24.3
China,CHN,2010,28.7
China,CHN,2016,34.5
India,IND,1975,4.4
India,IND,1980,5.3
India,IND,1985,6.3
India,IND,1990,7.5
India,IND,1995,8.8
India,IND,2000,10.5
India,IND,2005,12.4
India,IND,2010,14.6
India,IND,2016,17.8
South Africa,ZAF,1975,15.6
South Africa,ZAF,1980,17.3
South Africa,ZAF,1985,19.3
South Africa,ZAF,1990,21.9
South Africa,ZAF,1995,24.9
South Africa,ZAF,2000,28.2
South Africa,ZAF,2005,31.8
South Africa,ZAF,2010,35.6
South Africa,ZAF,2016,40.5
South Korea,KOR,1975,11.5
South Korea,KOR,1980,13.9
South Korea,KOR,1985,16.7
South Korea,KOR,1990,20.0
South Korea,KOR,1995,23.3
South Korea,KOR,2000,26.0
South Korea,KOR,2005,28.6
South Korea,KOR,2010,31.1
South Korea,KOR,2016,34.0
United Kingdom,GBR,1975,43.8
United Kingdom,GBR,1980,47.0
United Kingdom,GBR,1985,50.2
United Kingdom,GBR,1990,53.3
United Kingdom,GBR,1995,56.5
United Kingdom,GBR,2000,59.6
United Kingdom,GBR,2005,62.7
United Kingdom,GBR,2010,65.5
United Kingdom,GBR,2016,68.6
United States,USA,1975,45.6
United States,USA,1980,48.9
United States,USA,1985,52.4
United States,USA,1990,56.1
United States,USA,1995,59.9
United States,USA,2000,63.7
United States,USA,2005,67.0
United States,USA,2010,69.8
United States,USA,2016,72.7
